# label utc vllm:prompt_tokens_total vllm:request_success_total{stop}
quiet1-start 2026-09-23T02:47:39.427Z 3.964491e+06 9732.0
quiet1-end 2026-09-23T02:47:54.441Z 3.964491e+06 9732.0
pf-heldout-start 2026-09-23T02:47:54.452Z 3.964491e+06 9732.0
pf-heldout-end 2026-09-23T02:48:07.194Z 3.966531e+06 9882.0
inspect-start 2026-09-23T02:48:18.852Z 3.966531e+06 9882.0
inspect-end 2026-09-23T02:48:23.087Z 3.968571e+06 10032.0
upstream4-start 2026-09-23T02:48:23.100Z 3.968571e+06 10032.0
upstream4-end 2026-09-23T02:48:34.647Z 3.968907e+06 10040.0
quiet2-start 2026-09-23T02:48:34.660Z 3.968907e+06 10040.0
quiet2-end 2026-09-23T02:48:49.674Z 3.968907e+06 10040.0
