,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2016-01-15 14:30:00+00:00,1000000.00,0.00,1000000.00,USD,SIM-001,CASH,[],True,{},USD
2016-01-15 14:30:00+00:00,966708.09,0.00,966708.09,USD,SIM-001,CASH,[],False,{},USD
2016-01-15 14:30:00+00:00,933401.84,0.00,933401.84,USD,SIM-001,CASH,[],False,{},USD
2016-01-15 14:30:00+00:00,900152.20,0.00,900152.20,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,933996.45,0.00,933996.45,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,968220.82,0.00,968220.82,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,1002023.78,0.00,1002023.78,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,968781.85,0.00,968781.85,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,935486.02,0.00,935486.02,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,902250.75,0.00,902250.75,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,935946.02,0.00,935946.02,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,969313.85,0.00,969313.85,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,1003000.33,0.00,1003000.33,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,969711.44,0.00,969711.44,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,936445.18,0.00,936445.18,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,903141.66,0.00,903141.66,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,934759.37,0.00,934759.37,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,965667.43,0.00,965667.43,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,997801.16,0.00,997801.16,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,964532.56,0.00,964532.56,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,931215.19,0.00,931215.19,USD,SIM-001,CASH,[],False,{},USD
