,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2016-01-15 14:30:00+00:00,1000000.00,0.00,1000000.00,USD,SIM-001,CASH,[],True,{},USD
2016-01-15 14:30:00+00:00,966705.76,0.00,966705.76,USD,SIM-001,CASH,[],False,{},USD
2016-01-15 14:30:00+00:00,933397.23,0.00,933397.23,USD,SIM-001,CASH,[],False,{},USD
2016-01-15 14:30:00+00:00,900146.83,0.00,900146.83,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,933988.75,0.00,933988.75,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,968210.84,0.00,968210.84,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,1002013.04,0.00,1002013.04,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,968768.84,0.00,968768.84,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,935470.82,0.00,935470.82,USD,SIM-001,CASH,[],False,{},USD
2016-01-25 14:30:00+00:00,902234.82,0.00,902234.82,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,935927.82,0.00,935927.82,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,969293.46,0.00,969293.46,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,1002979.21,0.00,1002979.21,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,969688.09,0.00,969688.09,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,936419.65,0.00,936419.65,USD,SIM-001,CASH,[],False,{},USD
2016-02-01 14:30:00+00:00,903115.42,0.00,903115.42,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,934730.90,0.00,934730.90,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,965636.78,0.00,965636.78,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,997769.80,0.00,997769.80,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,964498.80,0.00,964498.80,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,931179.00,0.00,931179.00,USD,SIM-001,CASH,[],False,{},USD
2016-02-08 14:30:00+00:00,897927.96,0.00,897927.96,USD,SIM-001,CASH,[],False,{},USD
2016-02-16 14:30:00+00:00,931466.50,0.00,931466.50,USD,SIM-001,CASH,[],False,{},USD
2016-02-16 14:30:00+00:00,965879.66,0.00,965879.66,USD,SIM-001,CASH,[],False,{},USD
2016-02-16 14:30:00+00:00,999669.49,0.00,999669.49,USD,SIM-001,CASH,[],False,{},USD
2016-02-16 14:30:00+00:00,966417.49,0.00,966417.49,USD,SIM-001,CASH,[],False,{},USD
2016-02-16 14:30:00+00:00,933091.69,0.00,933091.69,USD,SIM-001,CASH,[],False,{},USD
2016-02-16 14:30:00+00:00,899864.65,0.00,899864.65,USD,SIM-001,CASH,[],False,{},USD
2016-02-23 14:30:00+00:00,934282.85,0.00,934282.85,USD,SIM-001,CASH,[],False,{},USD
2016-02-23 14:30:00+00:00,968677.30,0.00,968677.30,USD,SIM-001,CASH,[],False,{},USD
2016-02-23 14:30:00+00:00,1002817.78,0.00,1002817.78,USD,SIM-001,CASH,[],False,{},USD
2016-02-23 14:30:00+00:00,969506.53,0.00,969506.53,USD,SIM-001,CASH,[],False,{},USD
2016-02-23 14:30:00+00:00,936234.97,0.00,936234.97,USD,SIM-001,CASH,[],False,{},USD
2016-02-23 14:30:00+00:00,903060.97,0.00,903060.97,USD,SIM-001,CASH,[],False,{},USD
2016-03-01 14:30:00+00:00,937155.24,0.00,937155.24,USD,SIM-001,CASH,[],False,{},USD
2016-03-01 14:30:00+00:00,970679.52,0.00,970679.52,USD,SIM-001,CASH,[],False,{},USD
2016-03-01 14:30:00+00:00,1004031.36,0.00,1004031.36,USD,SIM-001,CASH,[],False,{},USD
2016-03-01 14:30:00+00:00,970759.71,0.00,970759.71,USD,SIM-001,CASH,[],False,{},USD
