client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px
O-20160115-143000-001-000-1,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,336,FILLED,GTC,False,False,336,uuid-redacted,2016-01-15 14:30:00+00:00,2016-01-15 14:30:00+00:00,['3.36 USD'],SIM-3-1,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-7d6fe8957b806471-002,99.0800
O-20160115-143000-001-000-2,TRADER-001,EpisodeReplay-000,QQQ.SIM,BUY,MARKET,331,FILLED,GTC,False,False,331,uuid-redacted,2016-01-15 14:30:00+00:00,2016-01-15 14:30:00+00:00,['3.31 USD'],SIM-2-1,,,,,,,,,,SIM-001,,QQQ.SIM-EpisodeReplay-000,TAKER,T-833da6565f569262-002,100.6200
O-20160115-143000-001-000-3,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,178,FILLED,GTC,False,False,178,uuid-redacted,2016-01-15 14:30:00+00:00,2016-01-15 14:30:00+00:00,['1.78 USD'],SIM-1-1,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-50a72c61550112ef-002,186.7900
O-20160125-143000-001-000-4,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,336,FILLED,GTC,False,False,336,uuid-redacted,2016-01-25 14:30:00+00:00,2016-01-25 14:30:00+00:00,['3.36 USD'],SIM-3-2,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-7643ce6474b7adc2-008,100.7300
O-20160125-143000-001-000-5,TRADER-001,EpisodeReplay-000,QQQ.SIM,SELL,MARKET,331,FILLED,GTC,False,False,331,uuid-redacted,2016-01-25 14:30:00+00:00,2016-01-25 14:30:00+00:00,['3.31 USD'],SIM-2-2,,,,,,,,,,SIM-001,,QQQ.SIM-EpisodeReplay-000,TAKER,T-381382f5ea45dbf5-008,103.4000
O-20160125-143000-001-000-6,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,178,FILLED,GTC,False,False,178,uuid-redacted,2016-01-25 14:30:00+00:00,2016-01-25 14:30:00+00:00,['1.78 USD'],SIM-1-2,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-c5bb11f6ed64de58-008,189.9100
O-20160125-143000-001-000-7,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,330,FILLED,GTC,False,False,330,uuid-redacted,2016-01-25 14:30:00+00:00,2016-01-25 14:30:00+00:00,['3.30 USD'],SIM-3-3,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-7643ce6474b7adc2-009,100.7300
O-20160125-143000-001-000-8,TRADER-001,EpisodeReplay-000,QQQ.SIM,BUY,MARKET,322,FILLED,GTC,False,False,322,uuid-redacted,2016-01-25 14:30:00+00:00,2016-01-25 14:30:00+00:00,['3.22 USD'],SIM-2-3,,,,,,,,,,SIM-001,,QQQ.SIM-EpisodeReplay-000,TAKER,T-381382f5ea45dbf5-009,103.4000
O-20160125-143000-001-000-9,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,175,FILLED,GTC,False,False,175,uuid-redacted,2016-01-25 14:30:00+00:00,2016-01-25 14:30:00+00:00,['1.75 USD'],SIM-1-3,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-c5bb11f6ed64de58-009,189.9100
O-20160201-143000-001-000-10,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,330,FILLED,GTC,False,False,330,uuid-redacted,2016-02-01 14:30:00+00:00,2016-02-01 14:30:00+00:00,['3.30 USD'],SIM-3-4,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-e71dd7f37b9edfaa-015,102.1100
