client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px
O-20160301-143000-001-000-1,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,512,FILLED,GTC,False,False,512,uuid-redacted,2016-03-01 14:30:00+00:00,2016-03-01 14:30:00+00:00,['1.00 USD'],SIM-1-1,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-646cc28d9f9ed5ca-032,195.0500
O-20160308-143000-001-000-2,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,512,FILLED,GTC,False,False,512,uuid-redacted,2016-03-08 14:30:00+00:00,2016-03-08 14:30:00+00:00,['1.00 USD'],SIM-1-2,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-d2a52bfffd139a34-038,199.3000
O-20160308-143000-001-000-3,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,501,FILLED,GTC,False,False,501,uuid-redacted,2016-03-08 14:30:00+00:00,2016-03-08 14:30:00+00:00,['1.00 USD'],SIM-1-3,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-d2a52bfffd139a34-039,199.3000
O-20160315-133000-001-000-4,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,501,FILLED,GTC,False,False,501,uuid-redacted,2016-03-15 13:30:00+00:00,2016-03-15 13:30:00+00:00,['1.00 USD'],SIM-1-4,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-72b630b03cef381b-045,201.3200
O-20160315-133000-001-000-5,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,496,FILLED,GTC,False,False,496,uuid-redacted,2016-03-15 13:30:00+00:00,2016-03-15 13:30:00+00:00,['1.00 USD'],SIM-1-5,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-72b630b03cef381b-046,201.3200
O-20160322-133000-001-000-6,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,496,FILLED,GTC,False,False,496,uuid-redacted,2016-03-22 13:30:00+00:00,2016-03-22 13:30:00+00:00,['1.00 USD'],SIM-1-6,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-890a655a73939040-052,203.7400
O-20160322-133000-001-000-7,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,490,FILLED,GTC,False,False,490,uuid-redacted,2016-03-22 13:30:00+00:00,2016-03-22 13:30:00+00:00,['1.00 USD'],SIM-1-7,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-890a655a73939040-053,203.7400
O-20160330-133000-001-000-8,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,490,FILLED,GTC,False,False,490,uuid-redacted,2016-03-30 13:30:00+00:00,2016-03-30 13:30:00+00:00,['1.00 USD'],SIM-1-8,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-b105216a18fcb5aa-059,206.3500
O-20160330-133000-001-000-9,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,484,FILLED,GTC,False,False,484,uuid-redacted,2016-03-30 13:30:00+00:00,2016-03-30 13:30:00+00:00,['1.00 USD'],SIM-1-9,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-b105216a18fcb5aa-060,206.3500
O-20160406-133000-001-000-10,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,484,FILLED,GTC,False,False,484,uuid-redacted,2016-04-06 13:30:00+00:00,2016-04-06 13:30:00+00:00,['1.00 USD'],SIM-1-10,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-59863c4f20ba78a9-066,204.2700
