,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2016-01-15 14:30:00+00:00,1000000.00,0.00,1000000.00,USD,SIM-001,CASH,[],True,{},USD
2016-03-01 14:30:00+00:00,900133.35,0.00,900133.35,USD,SIM-001,CASH,[],False,{},USD
2016-03-08 14:30:00+00:00,1002173.90,0.00,1002173.90,USD,SIM-001,CASH,[],False,{},USD
2016-03-08 14:30:00+00:00,902323.55,0.00,902323.55,USD,SIM-001,CASH,[],False,{},USD
2016-03-15 13:30:00+00:00,1003183.82,0.00,1003183.82,USD,SIM-001,CASH,[],False,{},USD
2016-03-15 13:30:00+00:00,903328.05,0.00,903328.05,USD,SIM-001,CASH,[],False,{},USD
2016-03-22 13:30:00+00:00,1004382.04,0.00,1004382.04,USD,SIM-001,CASH,[],False,{},USD
2016-03-22 13:30:00+00:00,904548.39,0.00,904548.39,USD,SIM-001,CASH,[],False,{},USD
2016-03-30 13:30:00+00:00,1005658.84,0.00,1005658.84,USD,SIM-001,CASH,[],False,{},USD
2016-03-30 13:30:00+00:00,905784.39,0.00,905784.39,USD,SIM-001,CASH,[],False,{},USD
2016-04-06 13:30:00+00:00,1004650.02,0.00,1004650.02,USD,SIM-001,CASH,[],False,{},USD
2016-04-06 13:30:00+00:00,904705.10,0.00,904705.10,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 13:30:00+00:00,1005894.96,0.00,1005894.96,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 13:30:00+00:00,905903.25,0.00,905903.25,USD,SIM-001,CASH,[],False,{},USD
2016-04-20 13:30:00+00:00,1007283.90,0.00,1007283.90,USD,SIM-001,CASH,[],False,{},USD
2016-04-20 13:30:00+00:00,907370.45,0.00,907370.45,USD,SIM-001,CASH,[],False,{},USD
2016-04-27 13:30:00+00:00,1006596.36,0.00,1006596.36,USD,SIM-001,CASH,[],False,{},USD
2016-05-11 13:30:00+00:00,906600.22,0.00,906600.22,USD,SIM-001,CASH,[],False,{},USD
