client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px
O-20160322-133000-001-000-1,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,490,FILLED,GTC,False,False,490,uuid-redacted,2016-03-22 13:30:00+00:00,2016-03-22 13:30:00+00:00,['1.00 USD'],SIM-1-1,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-890a655a73939040-047,203.7401
O-20160330-133000-001-000-2,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,490,FILLED,GTC,False,False,490,uuid-redacted,2016-03-30 13:30:00+00:00,2016-03-30 13:30:00+00:00,['1.00 USD'],SIM-1-2,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-b105216a18fcb5aa-053,206.3499
O-20160406-133000-001-000-3,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,489,FILLED,GTC,False,False,489,uuid-redacted,2016-04-06 13:30:00+00:00,2016-04-06 13:30:00+00:00,['1.00 USD'],SIM-1-3,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-59863c4f20ba78a9-059,204.2701
O-20160413-133000-001-000-4,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,489,FILLED,GTC,False,False,489,uuid-redacted,2016-04-13 13:30:00+00:00,2016-04-13 13:30:00+00:00,['1.00 USD'],SIM-1-4,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-2e485d67d2bee343-065,207.0199
O-20160413-133000-001-000-5,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,904,FILLED,GTC,False,False,904,uuid-redacted,2016-04-13 13:30:00+00:00,2016-04-13 13:30:00+00:00,['1.00 USD'],SIM-3-1,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-30ae18618c188f29-062,110.5801
O-20160420-133000-001-000-6,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,904,FILLED,GTC,False,False,904,uuid-redacted,2016-04-20 13:30:00+00:00,2016-04-20 13:30:00+00:00,['1.00 USD'],SIM-3-2,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-009ac8f4a553e286-068,113.3899
O-20160420-133000-001-000-7,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,881,FILLED,GTC,False,False,881,uuid-redacted,2016-04-20 13:30:00+00:00,2016-04-20 13:30:00+00:00,['1.00 USD'],SIM-3-3,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-009ac8f4a553e286-069,113.3901
O-20160427-133000-001-000-8,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,881,FILLED,GTC,False,False,881,uuid-redacted,2016-04-27 13:30:00+00:00,2016-04-27 13:30:00+00:00,['1.00 USD'],SIM-3-4,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-b27c2af9f717df84-075,114.4799
O-20160427-133000-001-000-9,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,873,FILLED,GTC,False,False,873,uuid-redacted,2016-04-27 13:30:00+00:00,2016-04-27 13:30:00+00:00,['1.00 USD'],SIM-3-5,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-b27c2af9f717df84-076,114.4801
O-20160504-133000-001-000-10,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,873,FILLED,GTC,False,False,873,uuid-redacted,2016-05-04 13:30:00+00:00,2016-05-04 13:30:00+00:00,['1.00 USD'],SIM-3-6,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-166fb151a90a74e6-082,110.9999
O-20160504-133000-001-000-11,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,900,FILLED,GTC,False,False,900,uuid-redacted,2016-05-04 13:30:00+00:00,2016-05-04 13:30:00+00:00,['1.00 USD'],SIM-3-7,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-166fb151a90a74e6-083,111.0001
