,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2016-01-15 14:30:00+00:00,1000000.00,0.00,1000000.00,USD,SIM-001,CASH,[],True,{},USD
2016-03-22 13:30:00+00:00,900162.50,0.00,900162.50,USD,SIM-001,CASH,[],False,{},USD
2016-03-30 13:30:00+00:00,1001269.10,0.00,1001269.10,USD,SIM-001,CASH,[],False,{},USD
2016-04-06 13:30:00+00:00,901376.18,0.00,901376.18,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 13:30:00+00:00,1002604.07,0.00,1002604.07,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 13:30:00+00:00,902630.71,0.00,902630.71,USD,SIM-001,CASH,[],False,{},USD
2016-04-20 13:30:00+00:00,1005126.23,0.00,1005126.23,USD,SIM-001,CASH,[],False,{},USD
2016-04-20 13:30:00+00:00,905220.83,0.00,905220.83,USD,SIM-001,CASH,[],False,{},USD
2016-04-27 13:30:00+00:00,1006068.90,0.00,1006068.90,USD,SIM-001,CASH,[],False,{},USD
2016-04-27 13:30:00+00:00,906119.13,0.00,906119.13,USD,SIM-001,CASH,[],False,{},USD
2016-05-04 13:30:00+00:00,1003013.40,0.00,1003013.40,USD,SIM-001,CASH,[],False,{},USD
2016-05-04 13:30:00+00:00,903104.40,0.00,903104.40,USD,SIM-001,CASH,[],False,{},USD
2016-05-11 13:30:00+00:00,1003985.40,0.00,1003985.40,USD,SIM-001,CASH,[],False,{},USD
2016-05-11 13:30:00+00:00,903983.28,0.00,903983.28,USD,SIM-001,CASH,[],False,{},USD
2016-05-18 13:30:00+00:00,1001041.80,0.00,1001041.80,USD,SIM-001,CASH,[],False,{},USD
2016-05-18 13:30:00+00:00,901135.86,0.00,901135.86,USD,SIM-001,CASH,[],False,{},USD
2016-05-25 13:30:00+00:00,1005154.44,0.00,1005154.44,USD,SIM-001,CASH,[],False,{},USD
2016-05-25 13:30:00+00:00,905197.38,0.00,905197.38,USD,SIM-001,CASH,[],False,{},USD
2016-06-02 13:30:00+00:00,1007050.74,0.00,1007050.74,USD,SIM-001,CASH,[],False,{},USD
2016-06-02 13:30:00+00:00,907143.24,0.00,907143.24,USD,SIM-001,CASH,[],False,{},USD
2016-06-09 13:30:00+00:00,1009144.04,0.00,1009144.04,USD,SIM-001,CASH,[],False,{},USD
2016-06-09 13:30:00+00:00,909248.86,0.00,909248.86,USD,SIM-001,CASH,[],False,{},USD
2016-06-16 13:30:00+00:00,1005552.76,0.00,1005552.76,USD,SIM-001,CASH,[],False,{},USD
2016-06-16 13:30:00+00:00,905592.88,0.00,905592.88,USD,SIM-001,CASH,[],False,{},USD
2016-06-23 13:30:00+00:00,1007407.45,0.00,1007407.45,USD,SIM-001,CASH,[],False,{},USD
2016-06-23 13:30:00+00:00,907428.90,0.00,907428.90,USD,SIM-001,CASH,[],False,{},USD
2016-06-30 13:30:00+00:00,1005016.94,0.00,1005016.94,USD,SIM-001,CASH,[],False,{},USD
2016-06-30 13:30:00+00:00,905036.54,0.00,905036.54,USD,SIM-001,CASH,[],False,{},USD
