kind,time_utc,a,b,c,d,e
decision,2016-01-12T21:00:00.0000000Z,2016-01-12,1000000.0000,1494,2060,4657
fill,2016-01-12T21:00:00.0000000Z,SPY,1494,193.66,2,710669.96
fill,2016-01-12T21:00:00.0000000Z,QQQ,2060,105.54,2,493255.56
fill,2016-01-12T21:00:00.0000000Z,IWM,4657,103.72,2,10229.52
decision,2016-04-13T20:00:00.0000000Z,2016-04-13,1072496.9800,1579,2079,4474
fill,2016-04-13T20:00:00.0000000Z,IWM,-183,112.3,2,30778.42
fill,2016-04-13T20:00:00.0000000Z,SPY,85,208.04,2,13093.02
fill,2016-04-13T20:00:00.0000000Z,QQQ,19,110.91,2,10983.73
decision,2016-07-13T20:00:00.0000000Z,2016-07-13,1115109.0800,1625,2241,4237
fill,2016-07-13T20:00:00.0000000Z,IWM,-237,119.25,2,39243.98
fill,2016-07-13T20:00:00.0000000Z,SPY,46,214.93,2,29355.20
fill,2016-07-13T20:00:00.0000000Z,QQQ,162,111.22,2,11335.56
decision,2016-10-11T20:00:00.0000000Z,2016-10-11,1138562.7400,1853,2394,3689
fill,2016-10-11T20:00:00.0000000Z,IWM,-548,122.03,2,78206.00
fill,2016-10-11T20:00:00.0000000Z,SPY,228,213.43,2,29541.96
fill,2016-10-11T20:00:00.0000000Z,QQQ,153,117.52,2,11559.40
decision,2017-01-11T21:00:00.0000000Z,2017-01-11,1229591.4900,2009,2476,3348
fill,2017-01-11T21:00:00.0000000Z,IWM,-341,136.33,2,58045.93
fill,2017-01-11T21:00:00.0000000Z,SPY,156,227.1,2,22616.33
fill,2017-01-11T21:00:00.0000000Z,QQQ,82,122.93,2,12534.07
decision,2017-04-12T20:00:00.0000000Z,2017-04-12,1258972.1800,2125,2720,2907
fill,2017-04-12T20:00:00.0000000Z,IWM,-441,135.04,2,72084.71
fill,2017-04-12T20:00:00.0000000Z,SPY,116,234.03,2,44935.23
fill,2017-04-12T20:00:00.0000000Z,QQQ,244,130.92,2,12988.75
decision,2017-07-13T20:00:00.0000000Z,2017-07-13,1327239.8800,2426,2476,2627
fill,2017-07-13T20:00:00.0000000Z,QQQ,-244,141.01,2,47393.19
fill,2017-07-13T20:00:00.0000000Z,IWM,-280,141.49,2,87008.39
fill,2017-07-13T20:00:00.0000000Z,SPY,301,244.42,2,13435.97
decision,2017-10-11T20:00:00.0000000Z,2017-10-11,1392054.7800,2633,2210,2533
fill,2017-10-11T20:00:00.0000000Z,QQQ,-266,148.04,2,52812.61
fill,2017-10-11T20:00:00.0000000Z,IWM,-94,149.75,2,66887.11
fill,2017-10-11T20:00:00.0000000Z,SPY,207,255.02,2,14095.97
decision,2018-01-11T21:00:00.0000000Z,2018-01-11,1500938.3300,2646,3176,1501
fill,2018-01-11T21:00:00.0000000Z,IWM,-1032,157.5,2,176633.97
fill,2018-01-11T21:00:00.0000000Z,SPY,13,276.12,2,173042.41
fill,2018-01-11T21:00:00.0000000Z,QQQ,966,163.29,2,15302.27
decision,2018-04-13T20:00:00.0000000Z,2018-04-13,1460479.2400,1868,1709,4382
fill,2018-04-13T20:00:00.0000000Z,SPY,-778,265.15,2,221586.97
fill,2018-04-13T20:00:00.0000000Z,QQQ,-1467,161.37,2,458314.76
fill,2018-04-13T20:00:00.0000000Z,IWM,2881,153.95,2,14782.81
decision,2018-07-13T20:00:00.0000000Z,2018-07-13,1577644.8600,1756,1576,4704
fill,2018-07-13T20:00:00.0000000Z,SPY,-112,279.59,2,46094.89
fill,2018-07-13T20:00:00.0000000Z,QQQ,-133,179.61,2,69981.02
fill,2018-07-13T20:00:00.0000000Z,IWM,322,167.42,2,16069.78
decision,2018-10-11T20:00:00.0000000Z,2018-10-11,1483683.1800,1679,1526,4902
fill,2018-10-11T20:00:00.0000000Z,SPY,-77,272.17,2,37024.87
fill,2018-10-11T20:00:00.0000000Z,QQQ,-50,169.6,2,45502.87
fill,2018-10-11T20:00:00.0000000Z,IWM,198,153.57,2,15094.01
decision,2019-01-14T21:00:00.0000000Z,2019-01-14,1387624.1300,1620,1470,5078
fill,2019-01-14T21:00:00.0000000Z,SPY,-59,257.4,2,30278.61
fill,2019-01-14T21:00:00.0000000Z,QQQ,-56,159.27,2,39195.73
fill,2019-01-14T21:00:00.0000000Z,IWM,176,142.25,2,14157.73
decision,2019-04-15T20:00:00.0000000Z,2019-04-15,1555232.5900,1780,1444,4803
fill,2019-04-15T20:00:00.0000000Z,QQQ,-26,185.86,2,18988.09
fill,2019-04-15T20:00:00.0000000Z,IWM,-275,157.17,2,62207.84
fill,2019-04-15T20:00:00.0000000Z,SPY,160,289.97,2,15810.64
decision,2019-07-16T20:00:00.0000000Z,2019-07-16,1573820.7600,1812,1464,4715
fill,2019-07-16T20:00:00.0000000Z,IWM,-88,155.24,2,29469.76
fill,2019-07-16T20:00:00.0000000Z,SPY,32,299.71,2,19877.04
fill,2019-07-16T20:00:00.0000000Z,QQQ,20,193.15,2,16012.04
decision,2019-10-14T20:00:00.0000000Z,2019-10-14,1537723.2500,1751,1522,4763
fill,2019-10-14T20:00:00.0000000Z,SPY,-61,295.95,2,34062.99
fill,2019-10-14T20:00:00.0000000Z,QQQ,58,191.09,2,22977.77
fill,2019-10-14T20:00:00.0000000Z,IWM,48,149.67,2,15791.61
decision,2020-01-14T21:00:00.0000000Z,2020-01-14,1717491.2300,1905,1699,4215
fill,2020-01-14T21:00:00.0000000Z,IWM,-548,166.57,2,107069.97
fill,2020-01-14T21:00:00.0000000Z,SPY,154,327.45,2,56640.67
fill,2020-01-14T21:00:00.0000000Z,QQQ,177,220.08,2,17684.51
decision,2020-04-15T20:00:00.0000000Z,2020-04-15,1399165.8800,1407,1727,5368
fill,2020-04-15T20:00:00.0000000Z,SPY,-498,277.76,2,156006.99
fill,2020-04-15T20:00:00.0000000Z,QQQ,28,209.43,2,150140.95
fill,2020-04-15T20:00:00.0000000Z,IWM,1153,117.8,2,14315.55
decision,2020-07-15T20:00:00.0000000Z,2020-07-15,1706989.8400,1565,1876,4737
fill,2020-07-15T20:00:00.0000000Z,IWM,-631,147.03,2,107089.48
fill,2020-07-15T20:00:00.0000000Z,SPY,158,321.85,2,56235.18
fill,2020-07-15T20:00:00.0000000Z,QQQ,149,260.9,2,17359.08
decision,2020-10-13T20:00:00.0000000Z,2020-10-13,1888541.9500,1636,1768,4767
fill,2020-10-13T20:00:00.0000000Z,QQQ,-108,294.52,2,49165.24
fill,2020-10-13T20:00:00.0000000Z,SPY,71,350.13,2,24304.01
fill,2020-10-13T20:00:00.0000000Z,IWM,30,162.7,2,19421.01
decision,2021-01-04T21:00:00.0000000Z,2021-01-04,2092036.0300,1746,1842,4429
fill,2021-01-04T21:00:00.0000000Z,IWM,-338,193.5,2,84822.01
fill,2021-01-04T21:00:00.0000000Z,SPY,110,368.79,2,44253.11
fill,2021-01-04T21:00:00.0000000Z,QQQ,74,309.31,2,21362.17
decision,2021-03-31T20:00:00.0000000Z,2021-03-31,2279735.0700,0,0,0
fill,2021-03-31T20:00:00.0000000Z,SPY,-1746,396.33,2,713352.35
fill,2021-03-31T20:00:00.0000000Z,QQQ,-1842,319.13,2,1301187.81
fill,2021-03-31T20:00:00.0000000Z,IWM,-4429,220.94,2,2279729.07
final,2021-03-31T20:00:00.0000000Z,2279729.07,0,0,0,
