kind,time_utc,a,b,c,d,e
decision,2016-01-12T21:00:00.0000000Z,2016-01-12,1000000.0000,4154,0,1788
fill,2016-01-12T21:00:00.0000000Z,SPY,4154,193.66,2,195534.36
fill,2016-01-12T21:00:00.0000000Z,IWM,1788,103.72,2,10081.00
decision,2016-04-13T20:00:00.0000000Z,2016-04-13,1075071.5600,4996,0,220
fill,2016-04-13T20:00:00.0000000Z,IWM,-1568,112.3,2,186165.40
fill,2016-04-13T20:00:00.0000000Z,SPY,842,208.04,2,10993.72
decision,2016-07-13T20:00:00.0000000Z,2016-07-13,1111019.0000,5117,0,0
fill,2016-07-13T20:00:00.0000000Z,IWM,-220,119.25,2,37226.72
fill,2016-07-13T20:00:00.0000000Z,SPY,121,214.93,2,11218.19
decision,2016-10-11T20:00:00.0000000Z,2016-10-11,1103339.5000,5117,0,0
decision,2017-01-11T21:00:00.0000000Z,2017-01-11,1173288.8900,5114,0,0
fill,2017-01-11T21:00:00.0000000Z,SPY,-3,227.1,2,11897.49
decision,2017-04-12T20:00:00.0000000Z,2017-04-12,1208726.9100,5113,0,0
fill,2017-04-12T20:00:00.0000000Z,SPY,-1,234.03,2,12129.52
decision,2017-07-13T20:00:00.0000000Z,2017-07-13,1261848.9800,5110,0,0
fill,2017-07-13T20:00:00.0000000Z,SPY,-3,244.42,2,12860.78
decision,2017-10-11T20:00:00.0000000Z,2017-10-11,1316012.9800,5108,0,0
fill,2017-10-11T20:00:00.0000000Z,SPY,-2,255.02,2,13368.82
decision,2018-01-11T21:00:00.0000000Z,2018-01-11,1423789.7800,5104,0,0
fill,2018-01-11T21:00:00.0000000Z,SPY,-4,276.12,2,14471.30
decision,2018-04-13T20:00:00.0000000Z,2018-04-13,1367796.9000,4927,0,308
fill,2018-04-13T20:00:00.0000000Z,SPY,-177,265.15,2,61400.85
fill,2018-04-13T20:00:00.0000000Z,IWM,308,153.95,2,13982.25
decision,2018-07-13T20:00:00.0000000Z,2018-07-13,1443087.5400,3916,0,1992
fill,2018-07-13T20:00:00.0000000Z,SPY,-1011,279.59,2,296645.74
fill,2018-07-13T20:00:00.0000000Z,IWM,1684,167.42,2,14708.46
decision,2018-10-11T20:00:00.0000000Z,2018-10-11,1386437.6200,3495,0,2742
fill,2018-10-11T20:00:00.0000000Z,SPY,-421,272.17,2,129290.03
fill,2018-10-11T20:00:00.0000000Z,IWM,750,153.57,2,14110.53
decision,2019-01-14T21:00:00.0000000Z,2019-01-14,1303773.0300,3729,0,2325
fill,2019-01-14T21:00:00.0000000Z,IWM,-417,142.25,2,73426.78
fill,2019-01-14T21:00:00.0000000Z,SPY,234,257.4,2,13193.18
decision,2019-04-15T20:00:00.0000000Z,2019-04-15,1459911.5600,4984,0,0
fill,2019-04-15T20:00:00.0000000Z,IWM,-2325,157.17,2,378611.43
fill,2019-04-15T20:00:00.0000000Z,SPY,1255,289.97,2,14697.08
decision,2019-07-16T20:00:00.0000000Z,2019-07-16,1508451.7200,4982,0,0
fill,2019-07-16T20:00:00.0000000Z,SPY,-2,299.71,2,15294.50
decision,2019-10-14T20:00:00.0000000Z,2019-10-14,1489717.4000,4983,0,0
fill,2019-10-14T20:00:00.0000000Z,SPY,1,295.95,2,14996.55
decision,2020-01-14T21:00:00.0000000Z,2020-01-14,1646679.9000,4978,0,0
fill,2020-01-14T21:00:00.0000000Z,SPY,-5,327.45,2,16631.80
decision,2020-04-15T20:00:00.0000000Z,2020-04-15,1399321.0800,4987,0,0
fill,2020-04-15T20:00:00.0000000Z,SPY,9,277.76,2,14129.96
decision,2020-07-15T20:00:00.0000000Z,2020-07-15,1619195.9100,3399,1950,0
fill,2020-07-15T20:00:00.0000000Z,SPY,-1588,321.85,2,525225.76
fill,2020-07-15T20:00:00.0000000Z,QQQ,1950,260.9,2,16468.76
decision,2020-10-13T20:00:00.0000000Z,2020-10-13,1780874.6300,4670,434,0
fill,2020-10-13T20:00:00.0000000Z,QQQ,-1516,294.52,2,462959.08
fill,2020-10-13T20:00:00.0000000Z,SPY,1271,350.13,2,17941.85
decision,2021-01-04T21:00:00.0000000Z,2021-01-04,1874431.6900,4801,274,0
fill,2021-01-04T21:00:00.0000000Z,QQQ,-160,309.31,2,67429.45
fill,2021-01-04T21:00:00.0000000Z,SPY,131,368.79,2,19115.96
decision,2021-03-31T20:00:00.0000000Z,2021-03-31,2009337.9100,0,0,0
fill,2021-03-31T20:00:00.0000000Z,SPY,-4801,396.33,2,1921894.29
fill,2021-03-31T20:00:00.0000000Z,QQQ,-274,319.13,2,2009333.91
final,2021-03-31T20:00:00.0000000Z,2009333.91,0,0,0,
