kind,time_utc,a,b,c,d,e
decision,2016-01-12T21:00:00.0000000Z,2016-01-12,1000000.0000,1494,2060,4657
fill,2016-01-12T21:00:00.0000000Z,SPY,1494,193.66,1,710670.96
fill,2016-01-12T21:00:00.0000000Z,QQQ,2060,105.54,1,493257.56
fill,2016-01-12T21:00:00.0000000Z,IWM,4657,103.72,1,10232.52
dividend,2016-03-18T04:00:00.0000000Z,QQQ,0.32,2060,12460.42,
dividend,2016-03-18T04:00:00.0000000Z,SPY,1.05,1494,12460.42,
dividend,2016-03-23T04:00:00.0000000Z,IWM,0.33,4657,13997.23,
decision,2016-04-13T20:00:00.0000000Z,2016-04-13,1076264.6900,1585,2087,4490
fill,2016-04-13T20:00:00.0000000Z,IWM,-167,112.3,1,32750.33
fill,2016-04-13T20:00:00.0000000Z,SPY,91,208.04,1,13817.69
fill,2016-04-13T20:00:00.0000000Z,QQQ,27,110.91,1,10822.12
dividend,2016-06-17T04:00:00.0000000Z,QQQ,0.29,2087,13139.15,
dividend,2016-06-17T04:00:00.0000000Z,SPY,1.08,1585,13139.15,
dividend,2016-07-06T04:00:00.0000000Z,IWM,0.63,4490,15967.85,
decision,2016-07-13T20:00:00.0000000Z,2016-07-13,1124180.5400,1638,2259,4272
fill,2016-07-13T20:00:00.0000000Z,IWM,-218,119.25,1,41963.35
fill,2016-07-13T20:00:00.0000000Z,SPY,53,214.93,1,30571.06
fill,2016-07-13T20:00:00.0000000Z,QQQ,172,111.22,1,11440.22
dividend,2016-09-16T04:00:00.0000000Z,QQQ,0.29,2259,13880.75,
dividend,2016-09-16T04:00:00.0000000Z,SPY,1.09,1638,13880.75,
dividend,2016-09-26T04:00:00.0000000Z,IWM,0.35,4272,15375.95,
decision,2016-10-11T20:00:00.0000000Z,2016-10-11,1151764.1300,1874,2422,3732
fill,2016-10-11T20:00:00.0000000Z,IWM,-540,122.03,1,81271.15
fill,2016-10-11T20:00:00.0000000Z,SPY,236,213.43,1,30900.67
fill,2016-10-11T20:00:00.0000000Z,QQQ,163,117.52,1,11743.91
dividend,2016-12-16T05:00:00.0000000Z,QQQ,0.35,2422,15084.03,
dividend,2016-12-16T05:00:00.0000000Z,SPY,1.33,1874,15084.03,
dividend,2016-12-22T05:00:00.0000000Z,IWM,0.57,3732,17211.27,
decision,2017-01-11T21:00:00.0000000Z,2017-01-11,1249316.6900,2041,2515,3402
fill,2017-01-11T21:00:00.0000000Z,IWM,-330,136.33,1,62199.17
fill,2017-01-11T21:00:00.0000000Z,SPY,167,227.1,1,24272.47
fill,2017-01-11T21:00:00.0000000Z,QQQ,93,122.93,1,12838.98
dividend,2017-03-17T04:00:00.0000000Z,QQQ,0.27,2515,15640.67,
dividend,2017-03-17T04:00:00.0000000Z,SPY,1.04,2041,15640.67,
dividend,2017-03-24T04:00:00.0000000Z,IWM,0.39,3402,16967.45,
decision,2017-04-12T20:00:00.0000000Z,2017-04-12,1283292.5600,2166,2773,2963
fill,2017-04-12T20:00:00.0000000Z,IWM,-439,135.04,1,76249.01
fill,2017-04-12T20:00:00.0000000Z,SPY,125,234.03,1,46994.26
fill,2017-04-12T20:00:00.0000000Z,QQQ,258,130.92,1,13215.90
dividend,2017-06-16T04:00:00.0000000Z,QQQ,0.38,2773,16825.52,
dividend,2017-06-16T04:00:00.0000000Z,SPY,1.18,2166,16825.52,
dividend,2017-07-06T04:00:00.0000000Z,IWM,0.61,2963,18632.95,
decision,2017-07-13T20:00:00.0000000Z,2017-07-13,1358302.2700,2482,2534,2689
fill,2017-07-13T20:00:00.0000000Z,QQQ,-239,141.01,1,52333.34
fill,2017-07-13T20:00:00.0000000Z,IWM,-274,141.49,1,91100.60
fill,2017-07-13T20:00:00.0000000Z,SPY,316,244.42,1,13862.88
dividend,2017-09-15T04:00:00.0000000Z,SPY,1.23,2482,16915.74,
dividend,2017-09-18T04:00:00.0000000Z,QQQ,0.32,2534,17726.62,
dividend,2017-09-26T04:00:00.0000000Z,IWM,0.35,2689,18667.77,
decision,2017-10-11T20:00:00.0000000Z,2017-10-11,1429438.5200,2703,2269,2601
fill,2017-10-11T20:00:00.0000000Z,QQQ,-265,148.04,1,57897.37
fill,2017-10-11T20:00:00.0000000Z,IWM,-88,149.75,1,71074.37
fill,2017-10-11T20:00:00.0000000Z,SPY,221,255.02,1,14713.95
dividend,2017-12-15T05:00:00.0000000Z,SPY,1.36,2703,18390.03,
dividend,2017-12-18T05:00:00.0000000Z,QQQ,0.33,2269,19138.80,
dividend,2017-12-21T05:00:00.0000000Z,IWM,0.58,2601,20647.38,
decision,2018-01-11T21:00:00.0000000Z,2018-01-11,1547162.2500,2727,3274,1547
fill,2018-01-11T21:00:00.0000000Z,IWM,-1054,157.5,1,186651.38
fill,2018-01-11T21:00:00.0000000Z,SPY,24,276.12,1,180023.50
fill,2018-01-11T21:00:00.0000000Z,QQQ,1005,163.29,1,15916.05
dividend,2018-03-16T04:00:00.0000000Z,SPY,1.10,2727,18915.75,
dividend,2018-03-19T04:00:00.0000000Z,QQQ,0.28,3274,19832.47,
dividend,2018-03-22T04:00:00.0000000Z,IWM,0.37,1547,20404.86,
decision,2018-04-13T20:00:00.0000000Z,2018-04-13,1509954.9400,1931,1767,4531
fill,2018-04-13T20:00:00.0000000Z,SPY,-796,265.15,1,231463.26
fill,2018-04-13T20:00:00.0000000Z,QQQ,-1507,161.37,1,474646.85
fill,2018-04-13T20:00:00.0000000Z,IWM,2984,153.95,1,15259.05
dividend,2018-06-15T04:00:00.0000000Z,SPY,1.25,1931,17672.80,
dividend,2018-06-18T04:00:00.0000000Z,QQQ,0.38,1767,18344.26,
dividend,2018-07-03T04:00:00.0000000Z,IWM,0.60,4531,21062.86,
decision,2018-07-13T20:00:00.0000000Z,2018-07-13,1636902.0400,1822,1635,4881
fill,2018-07-13T20:00:00.0000000Z,SPY,-109,279.59,1,51537.17
fill,2018-07-13T20:00:00.0000000Z,QQQ,-132,179.61,1,75244.69
fill,2018-07-13T20:00:00.0000000Z,IWM,350,167.42,1,16646.69
dividend,2018-09-21T04:00:00.0000000Z,SPY,1.33,1822,19069.95,
dividend,2018-09-24T04:00:00.0000000Z,QQQ,0.33,1635,19609.50,
dividend,2018-09-26T04:00:00.0000000Z,IWM,0.46,4881,21854.76,
decision,2018-10-11T20:00:00.0000000Z,2018-10-11,1544619.6700,1748,1588,5103
fill,2018-10-11T20:00:00.0000000Z,SPY,-74,272.17,1,41994.34
fill,2018-10-11T20:00:00.0000000Z,QQQ,-47,169.6,1,49964.54
fill,2018-10-11T20:00:00.0000000Z,IWM,222,153.57,1,15871.00
dividend,2018-12-17T05:00:00.0000000Z,IWM,0.47,5103,18269.41,
dividend,2018-12-21T05:00:00.0000000Z,SPY,1.44,1748,20786.53,
