kind,time_utc,a,b,c,d,e
decision,2016-01-12T21:00:00.0000000Z,2016-01-12,1000000.0000,4154,0,1788
fill,2016-01-12T21:00:00.0000000Z,SPY,4154,193.66,1,195535.36
fill,2016-01-12T21:00:00.0000000Z,IWM,1788,103.72,1,10083.00
dividend,2016-03-18T04:00:00.0000000Z,QQQ,0.32,0,14444.70,
dividend,2016-03-18T04:00:00.0000000Z,SPY,1.05,4154,14444.70,
dividend,2016-03-23T04:00:00.0000000Z,IWM,0.33,1788,15034.74,
decision,2016-04-13T20:00:00.0000000Z,2016-04-13,1080025.3000,5019,0,221
fill,2016-04-13T20:00:00.0000000Z,IWM,-1567,112.3,1,191007.84
fill,2016-04-13T20:00:00.0000000Z,SPY,865,208.04,1,11052.24
dividend,2016-06-17T04:00:00.0000000Z,QQQ,0.29,0,16472.76,
dividend,2016-06-17T04:00:00.0000000Z,SPY,1.08,5019,16472.76,
dividend,2016-07-06T04:00:00.0000000Z,IWM,0.63,221,16611.99,
decision,2016-07-13T20:00:00.0000000Z,2016-07-13,1121699.9100,5166,0,0
fill,2016-07-13T20:00:00.0000000Z,IWM,-221,119.25,1,42965.24
fill,2016-07-13T20:00:00.0000000Z,SPY,147,214.93,1,11369.53
dividend,2016-09-16T04:00:00.0000000Z,QQQ,0.29,0,17000.47,
dividend,2016-09-16T04:00:00.0000000Z,SPY,1.09,5166,17000.47,
dividend,2016-09-26T04:00:00.0000000Z,IWM,0.35,0,17000.47,
decision,2016-10-11T20:00:00.0000000Z,2016-10-11,1119579.8500,5193,0,0
fill,2016-10-11T20:00:00.0000000Z,SPY,27,213.43,1,11236.86
dividend,2016-12-16T05:00:00.0000000Z,QQQ,0.35,0,18143.55,
dividend,2016-12-16T05:00:00.0000000Z,SPY,1.33,5193,18143.55,
dividend,2016-12-22T05:00:00.0000000Z,IWM,0.57,0,18143.55,
decision,2017-01-11T21:00:00.0000000Z,2017-01-11,1197473.8500,5220,0,0
fill,2017-01-11T21:00:00.0000000Z,SPY,27,227.1,1,12010.85
dividend,2017-03-17T04:00:00.0000000Z,QQQ,0.27,0,17439.65,
dividend,2017-03-17T04:00:00.0000000Z,SPY,1.04,5220,17439.65,
dividend,2017-03-24T04:00:00.0000000Z,IWM,0.39,0,17439.65,
decision,2017-04-12T20:00:00.0000000Z,2017-04-12,1239076.2500,5241,0,0
fill,2017-04-12T20:00:00.0000000Z,SPY,21,234.03,1,12524.02
dividend,2017-06-16T04:00:00.0000000Z,QQQ,0.38,0,18708.40,
dividend,2017-06-16T04:00:00.0000000Z,SPY,1.18,5241,18708.40,
dividend,2017-07-06T04:00:00.0000000Z,IWM,0.61,0,18708.40,
decision,2017-07-13T20:00:00.0000000Z,2017-07-13,1299713.6200,5264,0,0
fill,2017-07-13T20:00:00.0000000Z,SPY,23,244.42,1,13085.74
dividend,2017-09-15T04:00:00.0000000Z,SPY,1.23,5264,19560.46,
dividend,2017-09-18T04:00:00.0000000Z,QQQ,0.32,0,19560.46,
dividend,2017-09-26T04:00:00.0000000Z,IWM,0.35,0,19560.46,
decision,2017-10-11T20:00:00.0000000Z,2017-10-11,1361985.7400,5287,0,0
fill,2017-10-11T20:00:00.0000000Z,SPY,23,255.02,1,13694.00
dividend,2017-12-15T05:00:00.0000000Z,SPY,1.36,5287,20884.32,
dividend,2017-12-18T05:00:00.0000000Z,QQQ,0.33,0,20884.32,
dividend,2017-12-21T05:00:00.0000000Z,IWM,0.58,0,20884.32,
decision,2018-01-11T21:00:00.0000000Z,2018-01-11,1480730.7600,5308,0,0
fill,2018-01-11T21:00:00.0000000Z,SPY,21,276.12,1,15084.80
dividend,2018-03-16T04:00:00.0000000Z,SPY,1.10,5308,20923.60,
dividend,2018-03-19T04:00:00.0000000Z,QQQ,0.28,0,20923.60,
dividend,2018-03-22T04:00:00.0000000Z,IWM,0.37,0,20923.60,
decision,2018-04-13T20:00:00.0000000Z,2018-04-13,1428339.8000,5146,0,321
fill,2018-04-13T20:00:00.0000000Z,SPY,-162,265.15,1,63876.90
fill,2018-04-13T20:00:00.0000000Z,IWM,321,153.95,1,14457.95
dividend,2018-06-15T04:00:00.0000000Z,SPY,1.25,5146,20890.45,
dividend,2018-06-18T04:00:00.0000000Z,QQQ,0.38,0,20890.45,
dividend,2018-07-03T04:00:00.0000000Z,IWM,0.60,321,21083.05,
decision,2018-07-13T20:00:00.0000000Z,2018-07-13,1513595.0100,4107,0,2090
fill,2018-07-13T20:00:00.0000000Z,SPY,-1039,279.59,1,311576.06
fill,2018-07-13T20:00:00.0000000Z,IWM,1769,167.42,1,15409.08
dividend,2018-09-21T04:00:00.0000000Z,SPY,1.33,4107,20871.39,
dividend,2018-09-24T04:00:00.0000000Z,QQQ,0.33,0,20871.39,
dividend,2018-09-26T04:00:00.0000000Z,IWM,0.46,2090,21832.79,
decision,2018-10-11T20:00:00.0000000Z,2018-10-11,1460596.2800,3682,0,2888
fill,2018-10-11T20:00:00.0000000Z,SPY,-425,272.17,1,137504.04
fill,2018-10-11T20:00:00.0000000Z,IWM,798,153.57,1,14954.18
dividend,2018-12-17T05:00:00.0000000Z,IWM,0.47,2888,16311.54,
dividend,2018-12-21T05:00:00.0000000Z,SPY,1.44,3682,21613.62,
dividend,2018-12-24T05:00:00.0000000Z,QQQ,0.42,0,21613.62,
decision,2019-01-14T21:00:00.0000000Z,2019-01-14,1380178.4200,3947,0,2462
fill,2019-01-14T21:00:00.0000000Z,IWM,-426,142.25,1,82211.12
fill,2019-01-14T21:00:00.0000000Z,SPY,265,257.4,1,13999.12
dividend,2019-03-15T04:00:00.0000000Z,SPY,1.23,3947,18853.93,
dividend,2019-03-18T04:00:00.0000000Z,QQQ,0.32,0,18853.93,
dividend,2019-03-20T04:00:00.0000000Z,IWM,0.41,2462,19863.35,
decision,2019-04-15T20:00:00.0000000Z,2019-04-15,1551327.4800,5296,0,0
fill,2019-04-15T20:00:00.0000000Z,IWM,-2462,157.17,1,406814.89
fill,2019-04-15T20:00:00.0000000Z,SPY,1349,289.97,1,15644.36
dividend,2019-06-17T04:00:00.0000000Z,IWM,0.53,0,15644.36,
dividend,2019-06-21T04:00:00.0000000Z,SPY,1.43,5296,23217.64,
dividend,2019-06-24T04:00:00.0000000Z,QQQ,0.42,0,23217.64,
decision,2019-07-16T20:00:00.0000000Z,2019-07-16,1610481.8000,5319,0,0
fill,2019-07-16T20:00:00.0000000Z,SPY,23,299.71,1,16323.31
dividend,2019-09-20T04:00:00.0000000Z,SPY,1.38,5319,23663.53,
dividend,2019-09-23T04:00:00.0000000Z,QQQ,0.38,0,23663.53,
dividend,2019-09-24T04:00:00.0000000Z,IWM,0.54,0,23663.53,
decision,2019-10-14T20:00:00.0000000Z,2019-10-14,1597821.5800,5344,0,0
fill,2019-10-14T20:00:00.0000000Z,SPY,25,295.95,1,16263.78
dividend,2019-12-16T05:00:00.0000000Z,IWM,0.60,0,16263.78,
dividend,2019-12-20T05:00:00.0000000Z,SPY,1.57,5344,24653.86,
dividend,2019-12-23T05:00:00.0000000Z,QQQ,0.46,0,24653.86,
decision,2020-01-14T21:00:00.0000000Z,2020-01-14,1774546.6600,5365,0,0
fill,2020-01-14T21:00:00.0000000Z,SPY,21,327.45,1,17776.41
dividend,2020-03-20T04:00:00.0000000Z,SPY,1.41,5365,25341.06,
dividend,2020-03-23T04:00:00.0000000Z,QQQ,0.38,0,25341.06,
dividend,2020-03-25T04:00:00.0000000Z,IWM,0.42,0,25341.06,
decision,2020-04-15T20:00:00.0000000Z,2020-04-15,1515523.4600,5401,0,0
fill,2020-04-15T20:00:00.0000000Z,SPY,36,277.76,1,15340.70
dividend,2020-06-15T04:00:00.0000000Z,IWM,0.47,0,15340.70,
dividend,2020-06-19T04:00:00.0000000Z,SPY,1.37,5401,22740.07,
dividend,2020-06-22T04:00:00.0000000Z,QQQ,0.42,0,22740.07,
decision,2020-07-15T20:00:00.0000000Z,2020-07-15,1761051.9200,3697,2121,0
fill,2020-07-15T20:00:00.0000000Z,SPY,-1704,321.85,1,571171.47
fill,2020-07-15T20:00:00.0000000Z,QQQ,2121,260.9,1,17801.57
dividend,2020-09-18T04:00:00.0000000Z,SPY,1.34,3697,22755.55,
dividend,2020-09-21T04:00:00.0000000Z,QQQ,0.39,2121,23582.74,
dividend,2020-09-23T04:00:00.0000000Z,IWM,0.57,0,23582.74,
decision,2020-10-13T20:00:00.0000000Z,2020-10-13,1942690.2700,5094,473,0
fill,2020-10-13T20:00:00.0000000Z,QQQ,-1648,294.52,1,508950.70
fill,2020-10-13T20:00:00.0000000Z,SPY,1397,350.13,1,19818.09
dividend,2020-12-14T05:00:00.0000000Z,IWM,0.59,0,19818.09,
dividend,2020-12-18T05:00:00.0000000Z,SPY,1.58,5094,27866.61,
dividend,2020-12-21T05:00:00.0000000Z,QQQ,0.56,473,28131.49,
decision,2021-01-04T21:00:00.0000000Z,2021-01-04,2053051.3800,5258,301,0
fill,2021-01-04T21:00:00.0000000Z,QQQ,-172,309.31,1,81331.81
fill,2021-01-04T21:00:00.0000000Z,SPY,164,368.79,1,20849.25
dividend,2021-03-19T04:00:00.0000000Z,SPY,1.28,5258,27579.49,
dividend,2021-03-22T04:00:00.0000000Z,QQQ,0.39,301,27696.88,
dividend,2021-03-25T04:00:00.0000000Z,IWM,0.40,0,27696.88,
decision,2021-03-31T20:00:00.0000000Z,2021-03-31,2207658.1500,0,0,0
fill,2021-03-31T20:00:00.0000000Z,SPY,-5258,396.33,1,2111599.02
fill,2021-03-31T20:00:00.0000000Z,QQQ,-301,319.13,1,2207656.15
final,2021-03-31T20:00:00.0000000Z,2207656.15,0,0,0,
