kind,time_utc,a,b,c,d,e
decision,2016-01-12T21:00:00.0000000Z,2016-01-12,1000000.0000,1494,2060,4657
fill,2016-01-12T21:00:00.0000000Z,SPY,1494,193.66,1,710670.96
fill,2016-01-12T21:00:00.0000000Z,QQQ,2060,105.54,1,493257.56
fill,2016-01-12T21:00:00.0000000Z,IWM,4657,103.72,1,10232.52
decision,2016-04-13T20:00:00.0000000Z,2016-04-13,1072499.9800,1579,2079,4474
fill,2016-04-13T20:00:00.0000000Z,IWM,-183,112.3,1,30782.42
fill,2016-04-13T20:00:00.0000000Z,SPY,85,208.04,1,13098.02
fill,2016-04-13T20:00:00.0000000Z,QQQ,19,110.91,1,10989.73
decision,2016-07-13T20:00:00.0000000Z,2016-07-13,1115115.0800,1625,2241,4237
fill,2016-07-13T20:00:00.0000000Z,IWM,-237,119.25,1,39250.98
fill,2016-07-13T20:00:00.0000000Z,SPY,46,214.93,1,29363.20
fill,2016-07-13T20:00:00.0000000Z,QQQ,162,111.22,1,11344.56
decision,2016-10-11T20:00:00.0000000Z,2016-10-11,1138571.7400,1853,2394,3689
fill,2016-10-11T20:00:00.0000000Z,IWM,-548,122.03,1,78216.00
fill,2016-10-11T20:00:00.0000000Z,SPY,228,213.43,1,29552.96
fill,2016-10-11T20:00:00.0000000Z,QQQ,153,117.52,1,11571.40
decision,2017-01-11T21:00:00.0000000Z,2017-01-11,1229603.4900,2009,2476,3348
fill,2017-01-11T21:00:00.0000000Z,IWM,-341,136.33,1,58058.93
fill,2017-01-11T21:00:00.0000000Z,SPY,156,227.1,1,22630.33
fill,2017-01-11T21:00:00.0000000Z,QQQ,82,122.93,1,12549.07
decision,2017-04-12T20:00:00.0000000Z,2017-04-12,1258987.1800,2125,2720,2907
fill,2017-04-12T20:00:00.0000000Z,IWM,-441,135.04,1,72100.71
fill,2017-04-12T20:00:00.0000000Z,SPY,116,234.03,1,44952.23
fill,2017-04-12T20:00:00.0000000Z,QQQ,244,130.92,1,13006.75
decision,2017-07-13T20:00:00.0000000Z,2017-07-13,1327257.8800,2426,2476,2627
fill,2017-07-13T20:00:00.0000000Z,QQQ,-244,141.01,1,47412.19
fill,2017-07-13T20:00:00.0000000Z,IWM,-280,141.49,1,87028.39
fill,2017-07-13T20:00:00.0000000Z,SPY,301,244.42,1,13456.97
decision,2017-10-11T20:00:00.0000000Z,2017-10-11,1392075.7800,2633,2210,2533
fill,2017-10-11T20:00:00.0000000Z,QQQ,-266,148.04,1,52834.61
fill,2017-10-11T20:00:00.0000000Z,IWM,-94,149.75,1,66910.11
fill,2017-10-11T20:00:00.0000000Z,SPY,207,255.02,1,14119.97
decision,2018-01-11T21:00:00.0000000Z,2018-01-11,1500962.3300,2646,3176,1501
fill,2018-01-11T21:00:00.0000000Z,IWM,-1032,157.5,1,176658.97
fill,2018-01-11T21:00:00.0000000Z,SPY,13,276.12,1,173068.41
fill,2018-01-11T21:00:00.0000000Z,QQQ,966,163.29,1,15329.27
decision,2018-04-13T20:00:00.0000000Z,2018-04-13,1460506.2400,1868,1709,4382
fill,2018-04-13T20:00:00.0000000Z,SPY,-778,265.15,1,221614.97
fill,2018-04-13T20:00:00.0000000Z,QQQ,-1467,161.37,1,458343.76
fill,2018-04-13T20:00:00.0000000Z,IWM,2881,153.95,1,14812.81
decision,2018-07-13T20:00:00.0000000Z,2018-07-13,1577674.8600,1756,1576,4704
fill,2018-07-13T20:00:00.0000000Z,SPY,-112,279.59,1,46125.89
fill,2018-07-13T20:00:00.0000000Z,QQQ,-133,179.61,1,70013.02
fill,2018-07-13T20:00:00.0000000Z,IWM,322,167.42,1,16102.78
decision,2018-10-11T20:00:00.0000000Z,2018-10-11,1483716.1800,1679,1526,4902
fill,2018-10-11T20:00:00.0000000Z,SPY,-77,272.17,1,37058.87
fill,2018-10-11T20:00:00.0000000Z,QQQ,-50,169.6,1,45537.87
fill,2018-10-11T20:00:00.0000000Z,IWM,198,153.57,1,15130.01
decision,2019-01-14T21:00:00.0000000Z,2019-01-14,1387660.1300,1620,1470,5078
fill,2019-01-14T21:00:00.0000000Z,SPY,-59,257.4,1,30315.61
fill,2019-01-14T21:00:00.0000000Z,QQQ,-56,159.27,1,39233.73
fill,2019-01-14T21:00:00.0000000Z,IWM,176,142.25,1,14196.73
decision,2019-04-15T20:00:00.0000000Z,2019-04-15,1555271.5900,1780,1444,4804
fill,2019-04-15T20:00:00.0000000Z,QQQ,-26,185.86,1,19028.09
fill,2019-04-15T20:00:00.0000000Z,IWM,-274,157.17,1,62091.67
fill,2019-04-15T20:00:00.0000000Z,SPY,160,289.97,1,15695.47
decision,2019-07-16T20:00:00.0000000Z,2019-07-16,1573860.8300,1812,1464,4715
fill,2019-07-16T20:00:00.0000000Z,IWM,-89,155.24,1,29510.83
fill,2019-07-16T20:00:00.0000000Z,SPY,32,299.71,1,19919.11
fill,2019-07-16T20:00:00.0000000Z,QQQ,20,193.15,1,16055.11
decision,2019-10-14T20:00:00.0000000Z,2019-10-14,1537766.3200,1751,1522,4763
fill,2019-10-14T20:00:00.0000000Z,SPY,-61,295.95,1,34107.06
fill,2019-10-14T20:00:00.0000000Z,QQQ,58,191.09,1,23022.84
fill,2019-10-14T20:00:00.0000000Z,IWM,48,149.67,1,15837.68
decision,2020-01-14T21:00:00.0000000Z,2020-01-14,1717537.3000,1905,1699,4215
fill,2020-01-14T21:00:00.0000000Z,IWM,-548,166.57,1,107117.04
fill,2020-01-14T21:00:00.0000000Z,SPY,154,327.45,1,56688.74
fill,2020-01-14T21:00:00.0000000Z,QQQ,177,220.08,1,17733.58
decision,2020-04-15T20:00:00.0000000Z,2020-04-15,1399214.9500,1408,1727,5368
fill,2020-04-15T20:00:00.0000000Z,SPY,-497,277.76,1,155779.30
fill,2020-04-15T20:00:00.0000000Z,QQQ,28,209.43,1,149914.26
fill,2020-04-15T20:00:00.0000000Z,IWM,1153,117.8,1,14089.86
decision,2020-07-15T20:00:00.0000000Z,2020-07-15,1707086.0000,1565,1876,4737
fill,2020-07-15T20:00:00.0000000Z,IWM,-631,147.03,1,106864.79
fill,2020-07-15T20:00:00.0000000Z,SPY,157,321.85,1,56333.34
fill,2020-07-15T20:00:00.0000000Z,QQQ,149,260.9,1,17458.24
decision,2020-10-13T20:00:00.0000000Z,2020-10-13,1888641.1100,1636,1768,4768
fill,2020-10-13T20:00:00.0000000Z,QQQ,-108,294.52,1,49265.40
fill,2020-10-13T20:00:00.0000000Z,SPY,71,350.13,1,24405.17
fill,2020-10-13T20:00:00.0000000Z,IWM,31,162.7,1,19360.47
decision,2021-01-04T21:00:00.0000000Z,2021-01-04,2092168.9900,1747,1842,4429
fill,2021-01-04T21:00:00.0000000Z,IWM,-339,193.5,1,84955.97
