kind,time_utc,a,b,c,d,e
decision,2016-01-12T21:00:00.0000000Z,2016-01-12,1000000.0000,4154,0,1788
fill,2016-01-12T21:00:00.0000000Z,SPY,4154,193.66,1,195535.36
fill,2016-01-12T21:00:00.0000000Z,IWM,1788,103.72,1,10083.00
decision,2016-04-13T20:00:00.0000000Z,2016-04-13,1075073.5600,4996,0,220
fill,2016-04-13T20:00:00.0000000Z,IWM,-1568,112.3,1,186168.40
fill,2016-04-13T20:00:00.0000000Z,SPY,842,208.04,1,10997.72
decision,2016-07-13T20:00:00.0000000Z,2016-07-13,1111023.0000,5117,0,0
fill,2016-07-13T20:00:00.0000000Z,IWM,-220,119.25,1,37231.72
fill,2016-07-13T20:00:00.0000000Z,SPY,121,214.93,1,11224.19
decision,2016-10-11T20:00:00.0000000Z,2016-10-11,1103345.5000,5117,0,0
decision,2017-01-11T21:00:00.0000000Z,2017-01-11,1173294.8900,5114,0,0
fill,2017-01-11T21:00:00.0000000Z,SPY,-3,227.1,1,11904.49
decision,2017-04-12T20:00:00.0000000Z,2017-04-12,1208733.9100,5113,0,0
fill,2017-04-12T20:00:00.0000000Z,SPY,-1,234.03,1,12137.52
decision,2017-07-13T20:00:00.0000000Z,2017-07-13,1261856.9800,5111,0,0
fill,2017-07-13T20:00:00.0000000Z,SPY,-2,244.42,1,12625.36
decision,2017-10-11T20:00:00.0000000Z,2017-10-11,1316032.5800,5108,0,0
fill,2017-10-11T20:00:00.0000000Z,SPY,-3,255.02,1,13389.42
decision,2018-01-11T21:00:00.0000000Z,2018-01-11,1423810.3800,5104,0,0
fill,2018-01-11T21:00:00.0000000Z,SPY,-4,276.12,1,14492.90
decision,2018-04-13T20:00:00.0000000Z,2018-04-13,1367818.5000,4928,0,308
fill,2018-04-13T20:00:00.0000000Z,SPY,-176,265.15,1,61158.30
fill,2018-04-13T20:00:00.0000000Z,IWM,308,153.95,1,13740.70
decision,2018-07-13T20:00:00.0000000Z,2018-07-13,1443125.5800,3916,0,1992
fill,2018-07-13T20:00:00.0000000Z,SPY,-1012,279.59,1,296684.78
fill,2018-07-13T20:00:00.0000000Z,IWM,1684,167.42,1,14748.50
decision,2018-10-11T20:00:00.0000000Z,2018-10-11,1386477.6600,3495,0,2742
fill,2018-10-11T20:00:00.0000000Z,SPY,-421,272.17,1,129331.07
fill,2018-10-11T20:00:00.0000000Z,IWM,750,153.57,1,14152.57
decision,2019-01-14T21:00:00.0000000Z,2019-01-14,1303815.0700,3729,0,2325
fill,2019-01-14T21:00:00.0000000Z,IWM,-417,142.25,1,73469.82
fill,2019-01-14T21:00:00.0000000Z,SPY,234,257.4,1,13237.22
decision,2019-04-15T20:00:00.0000000Z,2019-04-15,1459955.6000,4984,0,0
fill,2019-04-15T20:00:00.0000000Z,IWM,-2325,157.17,1,378656.47
fill,2019-04-15T20:00:00.0000000Z,SPY,1255,289.97,1,14743.12
decision,2019-07-16T20:00:00.0000000Z,2019-07-16,1508497.7600,4982,0,0
fill,2019-07-16T20:00:00.0000000Z,SPY,-2,299.71,1,15341.54
decision,2019-10-14T20:00:00.0000000Z,2019-10-14,1489764.4400,4983,0,0
fill,2019-10-14T20:00:00.0000000Z,SPY,1,295.95,1,15044.59
decision,2020-01-14T21:00:00.0000000Z,2020-01-14,1646727.9400,4978,0,0
fill,2020-01-14T21:00:00.0000000Z,SPY,-5,327.45,1,16680.84
decision,2020-04-15T20:00:00.0000000Z,2020-04-15,1399370.1200,4987,0,0
fill,2020-04-15T20:00:00.0000000Z,SPY,9,277.76,1,14180.00
decision,2020-07-15T20:00:00.0000000Z,2020-07-15,1619245.9500,3399,1950,0
fill,2020-07-15T20:00:00.0000000Z,SPY,-1588,321.85,1,525276.80
fill,2020-07-15T20:00:00.0000000Z,QQQ,1950,260.9,1,16520.80
decision,2020-10-13T20:00:00.0000000Z,2020-10-13,1780926.6700,4670,434,0
fill,2020-10-13T20:00:00.0000000Z,QQQ,-1516,294.52,1,463012.12
fill,2020-10-13T20:00:00.0000000Z,SPY,1271,350.13,1,17995.89
decision,2021-01-04T21:00:00.0000000Z,2021-01-04,1874485.7300,4801,274,0
fill,2021-01-04T21:00:00.0000000Z,QQQ,-160,309.31,1,67484.49
fill,2021-01-04T21:00:00.0000000Z,SPY,131,368.79,1,19172.00
decision,2021-03-31T20:00:00.0000000Z,2021-03-31,2009393.9500,0,0,0
fill,2021-03-31T20:00:00.0000000Z,SPY,-4801,396.33,1,1921951.33
fill,2021-03-31T20:00:00.0000000Z,QQQ,-274,319.13,1,2009391.95
final,2021-03-31T20:00:00.0000000Z,2009391.95,0,0,0,
