,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2016-01-12 21:00:00+00:00,1000000.00,0.00,1000000.00,USD,SIM-001,CASH,[],True,{},USD
2016-01-12 21:00:00+00:00,710670.96,0.00,710670.96,USD,SIM-001,CASH,[],False,{},USD
2016-01-12 21:00:00+00:00,493257.56,0.00,493257.56,USD,SIM-001,CASH,[],False,{},USD
2016-01-12 21:00:00+00:00,10232.52,0.00,10232.52,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 20:00:00+00:00,30782.42,0.00,30782.42,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 20:00:00+00:00,13098.02,0.00,13098.02,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 20:00:00+00:00,10989.73,0.00,10989.73,USD,SIM-001,CASH,[],False,{},USD
2016-07-13 20:00:00+00:00,39250.98,0.00,39250.98,USD,SIM-001,CASH,[],False,{},USD
2016-07-13 20:00:00+00:00,29363.20,0.00,29363.20,USD,SIM-001,CASH,[],False,{},USD
2016-07-13 20:00:00+00:00,11344.56,0.00,11344.56,USD,SIM-001,CASH,[],False,{},USD
2016-10-11 20:00:00+00:00,78216.00,0.00,78216.00,USD,SIM-001,CASH,[],False,{},USD
2016-10-11 20:00:00+00:00,29552.96,0.00,29552.96,USD,SIM-001,CASH,[],False,{},USD
2016-10-11 20:00:00+00:00,11571.40,0.00,11571.40,USD,SIM-001,CASH,[],False,{},USD
2017-01-11 21:00:00+00:00,58058.93,0.00,58058.93,USD,SIM-001,CASH,[],False,{},USD
2017-01-11 21:00:00+00:00,22630.33,0.00,22630.33,USD,SIM-001,CASH,[],False,{},USD
2017-01-11 21:00:00+00:00,12549.07,0.00,12549.07,USD,SIM-001,CASH,[],False,{},USD
2017-04-12 20:00:00+00:00,72100.71,0.00,72100.71,USD,SIM-001,CASH,[],False,{},USD
2017-04-12 20:00:00+00:00,44952.23,0.00,44952.23,USD,SIM-001,CASH,[],False,{},USD
2017-04-12 20:00:00+00:00,13006.75,0.00,13006.75,USD,SIM-001,CASH,[],False,{},USD
2017-07-13 20:00:00+00:00,47412.19,0.00,47412.19,USD,SIM-001,CASH,[],False,{},USD
2017-07-13 20:00:00+00:00,87028.39,0.00,87028.39,USD,SIM-001,CASH,[],False,{},USD
2017-07-13 20:00:00+00:00,13456.97,0.00,13456.97,USD,SIM-001,CASH,[],False,{},USD
2017-10-11 20:00:00+00:00,52834.61,0.00,52834.61,USD,SIM-001,CASH,[],False,{},USD
2017-10-11 20:00:00+00:00,66910.11,0.00,66910.11,USD,SIM-001,CASH,[],False,{},USD
2017-10-11 20:00:00+00:00,14119.97,0.00,14119.97,USD,SIM-001,CASH,[],False,{},USD
2018-01-11 21:00:00+00:00,176658.97,0.00,176658.97,USD,SIM-001,CASH,[],False,{},USD
2018-01-11 21:00:00+00:00,173068.41,0.00,173068.41,USD,SIM-001,CASH,[],False,{},USD
