,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2016-01-12 21:00:00+00:00,1000000.00,0.00,1000000.00,USD,SIM-001,CASH,[],True,{},USD
2016-01-12 21:00:00+00:00,710670.96,0.00,710670.96,USD,SIM-001,CASH,[],False,{},USD
2016-01-12 21:00:00+00:00,493257.56,0.00,493257.56,USD,SIM-001,CASH,[],False,{},USD
2016-01-12 21:00:00+00:00,10232.52,0.00,10232.52,USD,SIM-001,CASH,[],False,{},USD
2016-03-18 04:00:00+00:00,11801.22,0.00,11801.22,USD,SIM-001,CASH,[],True,{},USD
2016-03-18 04:00:00+00:00,12460.42,0.00,12460.42,USD,SIM-001,CASH,[],True,{},USD
2016-03-23 04:00:00+00:00,13997.23,0.00,13997.23,USD,SIM-001,CASH,[],True,{},USD
2016-04-13 20:00:00+00:00,32750.33,0.00,32750.33,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 20:00:00+00:00,13817.69,0.00,13817.69,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 20:00:00+00:00,10822.12,0.00,10822.12,USD,SIM-001,CASH,[],False,{},USD
2016-06-17 04:00:00+00:00,12533.92,0.00,12533.92,USD,SIM-001,CASH,[],True,{},USD
2016-06-17 04:00:00+00:00,13139.15,0.00,13139.15,USD,SIM-001,CASH,[],True,{},USD
2016-07-06 04:00:00+00:00,15967.85,0.00,15967.85,USD,SIM-001,CASH,[],True,{},USD
2016-07-13 20:00:00+00:00,41963.35,0.00,41963.35,USD,SIM-001,CASH,[],False,{},USD
2016-07-13 20:00:00+00:00,30571.06,0.00,30571.06,USD,SIM-001,CASH,[],False,{},USD
2016-07-13 20:00:00+00:00,11440.22,0.00,11440.22,USD,SIM-001,CASH,[],False,{},USD
2016-09-16 04:00:00+00:00,13225.64,0.00,13225.64,USD,SIM-001,CASH,[],True,{},USD
2016-09-16 04:00:00+00:00,13880.75,0.00,13880.75,USD,SIM-001,CASH,[],True,{},USD
2016-09-26 04:00:00+00:00,15375.95,0.00,15375.95,USD,SIM-001,CASH,[],True,{},USD
2016-10-11 20:00:00+00:00,81271.15,0.00,81271.15,USD,SIM-001,CASH,[],False,{},USD
2016-10-11 20:00:00+00:00,30900.67,0.00,30900.67,USD,SIM-001,CASH,[],False,{},USD
2016-10-11 20:00:00+00:00,11743.91,0.00,11743.91,USD,SIM-001,CASH,[],False,{},USD
2016-12-16 05:00:00+00:00,14236.33,0.00,14236.33,USD,SIM-001,CASH,[],True,{},USD
2016-12-16 05:00:00+00:00,15084.03,0.00,15084.03,USD,SIM-001,CASH,[],True,{},USD
2016-12-22 05:00:00+00:00,17211.27,0.00,17211.27,USD,SIM-001,CASH,[],True,{},USD
2017-01-11 21:00:00+00:00,62199.17,0.00,62199.17,USD,SIM-001,CASH,[],False,{},USD
2017-01-11 21:00:00+00:00,24272.47,0.00,24272.47,USD,SIM-001,CASH,[],False,{},USD
