client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px
O-20160112-210000-001-000-1,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,1494,FILLED,GTC,False,False,1494,uuid-redacted,2016-01-12 21:00:00+00:00,2016-01-12 21:00:00+00:00,['1.00 USD'],SIM-1-1,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-430b46332e5f56ca-005,193.6600
O-20160112-210000-001-000-2,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,2060,FILLED,GTC,False,False,2060,uuid-redacted,2016-01-12 21:00:00+00:00,2016-01-12 21:00:00+00:00,['1.00 USD'],SIM-2-1,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-0728539d42ee4a87-005,105.5400
O-20160112-210000-001-000-3,TRADER-001,FoldRebalancer-000,IWM.SIM,BUY,MARKET,4657,FILLED,GTC,False,False,4657,uuid-redacted,2016-01-12 21:00:00+00:00,2016-01-12 21:00:00+00:00,['1.00 USD'],SIM-3-1,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-527bbb826f7038b8-005,103.7200
O-20160413-200000-001-000-4,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,167,FILLED,GTC,False,False,167,uuid-redacted,2016-04-13 20:00:00+00:00,2016-04-13 20:00:00+00:00,['1.00 USD'],SIM-3-2,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-a2fe880a4dd6e8ef-257,112.3000
O-20160413-200000-001-000-5,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,91,FILLED,GTC,False,False,91,uuid-redacted,2016-04-13 20:00:00+00:00,2016-04-13 20:00:00+00:00,['1.00 USD'],SIM-1-2,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-4b19395dea19fb49-258,208.0400
O-20160413-200000-001-000-6,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,27,FILLED,GTC,False,False,27,uuid-redacted,2016-04-13 20:00:00+00:00,2016-04-13 20:00:00+00:00,['1.00 USD'],SIM-2-2,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-57f754317af1d214-255,110.9100
O-20160713-200000-001-000-7,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,218,FILLED,GTC,False,False,218,uuid-redacted,2016-07-13 20:00:00+00:00,2016-07-13 20:00:00+00:00,['1.00 USD'],SIM-3-3,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-857e6e36cc4ef37d-506,119.2500
O-20160713-200000-001-000-8,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,53,FILLED,GTC,False,False,53,uuid-redacted,2016-07-13 20:00:00+00:00,2016-07-13 20:00:00+00:00,['1.00 USD'],SIM-1-3,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-b048f9b33a334cfb-509,214.9300
O-20160713-200000-001-000-9,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,172,FILLED,GTC,False,False,172,uuid-redacted,2016-07-13 20:00:00+00:00,2016-07-13 20:00:00+00:00,['1.00 USD'],SIM-2-3,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-7566a252e85f321a-503,111.2200
O-20161011-200000-001-000-10,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,540,FILLED,GTC,False,False,540,uuid-redacted,2016-10-11 20:00:00+00:00,2016-10-11 20:00:00+00:00,['1.00 USD'],SIM-3-4,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-f353803826f29fa6-757,122.0300
O-20161011-200000-001-000-11,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,236,FILLED,GTC,False,False,236,uuid-redacted,2016-10-11 20:00:00+00:00,2016-10-11 20:00:00+00:00,['1.00 USD'],SIM-1-4,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-de93935518671f00-760,213.4300
O-20161011-200000-001-000-12,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,163,FILLED,GTC,False,False,163,uuid-redacted,2016-10-11 20:00:00+00:00,2016-10-11 20:00:00+00:00,['1.00 USD'],SIM-2-4,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-b43500f0fd6090ad-755,117.5200
O-20170111-210000-001-000-13,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,330,FILLED,GTC,False,False,330,uuid-redacted,2017-01-11 21:00:00+00:00,2017-01-11 21:00:00+00:00,['1.00 USD'],SIM-3-5,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-19fface284bad461-1010,136.3300
O-20170111-210000-001-000-14,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,167,FILLED,GTC,False,False,167,uuid-redacted,2017-01-11 21:00:00+00:00,2017-01-11 21:00:00+00:00,['1.00 USD'],SIM-1-5,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-283dc2a8fd1f9d17-1010,227.1000
O-20170111-210000-001-000-15,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,93,FILLED,GTC,False,False,93,uuid-redacted,2017-01-11 21:00:00+00:00,2017-01-11 21:00:00+00:00,['1.00 USD'],SIM-2-5,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-91fb56353cc28e0e-1007,122.9300
O-20170412-200000-001-000-16,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,439,FILLED,GTC,False,False,439,uuid-redacted,2017-04-12 20:00:00+00:00,2017-04-12 20:00:00+00:00,['1.00 USD'],SIM-3-6,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-16b30af3d6b33bc1-1259,135.0400
O-20170412-200000-001-000-17,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,125,FILLED,GTC,False,False,125,uuid-redacted,2017-04-12 20:00:00+00:00,2017-04-12 20:00:00+00:00,['1.00 USD'],SIM-1-6,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-dc41b0208929832f-1259,234.0300
O-20170412-200000-001-000-18,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,258,FILLED,GTC,False,False,258,uuid-redacted,2017-04-12 20:00:00+00:00,2017-04-12 20:00:00+00:00,['1.00 USD'],SIM-2-6,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-07d91492e23b78ba-1256,130.9200
