,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2016-01-12 21:00:00+00:00,1000000.00,0.00,1000000.00,USD,SIM-001,CASH,[],True,{},USD
2016-01-12 21:00:00+00:00,195535.36,0.00,195535.36,USD,SIM-001,CASH,[],False,{},USD
2016-01-12 21:00:00+00:00,10083.00,0.00,10083.00,USD,SIM-001,CASH,[],False,{},USD
2016-03-18 04:00:00+00:00,14444.70,0.00,14444.70,USD,SIM-001,CASH,[],True,{},USD
2016-03-18 04:00:00+00:00,14444.70,0.00,14444.70,USD,SIM-001,CASH,[],True,{},USD
2016-03-23 04:00:00+00:00,15034.74,0.00,15034.74,USD,SIM-001,CASH,[],True,{},USD
2016-04-13 20:00:00+00:00,191007.84,0.00,191007.84,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 20:00:00+00:00,11052.24,0.00,11052.24,USD,SIM-001,CASH,[],False,{},USD
2016-06-17 04:00:00+00:00,16472.76,0.00,16472.76,USD,SIM-001,CASH,[],True,{},USD
2016-06-17 04:00:00+00:00,16472.76,0.00,16472.76,USD,SIM-001,CASH,[],True,{},USD
2016-07-06 04:00:00+00:00,16611.99,0.00,16611.99,USD,SIM-001,CASH,[],True,{},USD
2016-07-13 20:00:00+00:00,42965.24,0.00,42965.24,USD,SIM-001,CASH,[],False,{},USD
2016-07-13 20:00:00+00:00,11369.53,0.00,11369.53,USD,SIM-001,CASH,[],False,{},USD
2016-09-16 04:00:00+00:00,17000.47,0.00,17000.47,USD,SIM-001,CASH,[],True,{},USD
2016-09-16 04:00:00+00:00,17000.47,0.00,17000.47,USD,SIM-001,CASH,[],True,{},USD
2016-09-26 04:00:00+00:00,17000.47,0.00,17000.47,USD,SIM-001,CASH,[],True,{},USD
2016-10-11 20:00:00+00:00,11236.86,0.00,11236.86,USD,SIM-001,CASH,[],False,{},USD
2016-12-16 05:00:00+00:00,18143.55,0.00,18143.55,USD,SIM-001,CASH,[],True,{},USD
2016-12-16 05:00:00+00:00,18143.55,0.00,18143.55,USD,SIM-001,CASH,[],True,{},USD
2016-12-22 05:00:00+00:00,18143.55,0.00,18143.55,USD,SIM-001,CASH,[],True,{},USD
