client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px
O-20210104-210000-001-000-1,TRADER-001,LimitProbe-000,SPY.SIM,BUY,MARKET,84,FILLED,GTC,False,False,84,uuid-redacted,2021-01-04 21:00:00+00:00,2021-01-04 21:00:00+00:00,['1.00 USD'],SIM-1-1,,,,,,,,,,SIM-001,,SPY.SIM-LimitProbe-000,TAKER,T-0c615d8f157de387-005,368.7900
O-20210104-210000-001-000-2,TRADER-001,LimitProbe-000,QQQ.SIM,BUY,MARKET,88,FILLED,GTC,False,False,88,uuid-redacted,2021-01-04 21:00:00+00:00,2021-01-04 21:00:00+00:00,['1.00 USD'],SIM-2-1,,,,,,,,,,SIM-001,,QQQ.SIM-LimitProbe-000,TAKER,T-560b9dc77382620a-005,309.3100
O-20210104-210000-001-000-3,TRADER-001,LimitProbe-000,IWM.SIM,BUY,MARKET,213,FILLED,GTC,False,False,213,uuid-redacted,2021-01-04 21:00:00+00:00,2021-01-04 21:00:00+00:00,['1.00 USD'],SIM-3-1,,,,,,,,,,SIM-001,,IWM.SIM-LimitProbe-000,TAKER,T-4f7c2cab6fad05ad-005,193.5000
O-20210105-210000-001-000-4,TRADER-001,LimitProbe-000,SPY.SIM,BUY,MARKET,161,FILLED,GTC,False,False,161,uuid-redacted,2021-01-05 21:00:00+00:00,2021-01-05 21:00:00+00:00,['1.00 USD'],SIM-1-2,,,,,,,,,,SIM-001,,SPY.SIM-LimitProbe-000,TAKER,T-262090008149102b-010,371.3300
O-20210106-210000-001-000-10,TRADER-001,LimitProbe-000,QQQ.SIM,BUY,MARKET,1,FILLED,GTC,False,False,1,uuid-redacted,2021-01-06 21:00:00+00:00,2021-01-06 21:00:00+00:00,['1.00 USD'],SIM-2-7,,,,,,,,,,SIM-001,,QQQ.SIM-LimitProbe-000,TAKER,T-0e79dc2b25e2cbdd-019,307.5400
O-20210106-210000-001-000-5,TRADER-001,LimitProbe-000,QQQ.SIM,BUY,MARKET,1,FILLED,GTC,False,False,1,uuid-redacted,2021-01-06 21:00:00+00:00,2021-01-06 21:00:00+00:00,['1.00 USD'],SIM-2-2,,,,,,,,,,SIM-001,,QQQ.SIM-LimitProbe-000,TAKER,T-0e79dc2b25e2cbdd-014,307.5400
O-20210106-210000-001-000-6,TRADER-001,LimitProbe-000,QQQ.SIM,BUY,MARKET,1,FILLED,GTC,False,False,1,uuid-redacted,2021-01-06 21:00:00+00:00,2021-01-06 21:00:00+00:00,['1.00 USD'],SIM-2-3,,,,,,,,,,SIM-001,,QQQ.SIM-LimitProbe-000,TAKER,T-0e79dc2b25e2cbdd-015,307.5400
O-20210106-210000-001-000-7,TRADER-001,LimitProbe-000,QQQ.SIM,BUY,MARKET,1,FILLED,GTC,False,False,1,uuid-redacted,2021-01-06 21:00:00+00:00,2021-01-06 21:00:00+00:00,['1.00 USD'],SIM-2-4,,,,,,,,,,SIM-001,,QQQ.SIM-LimitProbe-000,TAKER,T-0e79dc2b25e2cbdd-016,307.5400
O-20210106-210000-001-000-8,TRADER-001,LimitProbe-000,QQQ.SIM,BUY,MARKET,1,FILLED,GTC,False,False,1,uuid-redacted,2021-01-06 21:00:00+00:00,2021-01-06 21:00:00+00:00,['1.00 USD'],SIM-2-5,,,,,,,,,,SIM-001,,QQQ.SIM-LimitProbe-000,TAKER,T-0e79dc2b25e2cbdd-017,307.5400
O-20210106-210000-001-000-9,TRADER-001,LimitProbe-000,QQQ.SIM,BUY,MARKET,1,FILLED,GTC,False,False,1,uuid-redacted,2021-01-06 21:00:00+00:00,2021-01-06 21:00:00+00:00,['1.00 USD'],SIM-2-6,,,,,,,,,,SIM-001,,QQQ.SIM-LimitProbe-000,TAKER,T-0e79dc2b25e2cbdd-018,307.5400
O-20210108-210000-001-000-11,TRADER-001,LimitProbe-000,SPY.SIM,SELL,MARKET,245,FILLED,GTC,False,False,245,uuid-redacted,2021-01-08 21:00:00+00:00,2021-01-08 21:00:00+00:00,['1.00 USD'],SIM-1-3,,,,,,,,,,SIM-001,,SPY.SIM-LimitProbe-000,TAKER,T-9ce2c29678df4bf9-023,381.2600
O-20210108-210000-001-000-12,TRADER-001,LimitProbe-000,QQQ.SIM,SELL,MARKET,94,FILLED,GTC,False,False,94,uuid-redacted,2021-01-08 21:00:00+00:00,2021-01-08 21:00:00+00:00,['1.00 USD'],SIM-2-8,,,,,,,,,,SIM-001,,QQQ.SIM-LimitProbe-000,TAKER,T-d13a6072adf282d0-028,319.0300
O-20210108-210000-001-000-13,TRADER-001,LimitProbe-000,IWM.SIM,SELL,MARKET,213,FILLED,GTC,False,False,213,uuid-redacted,2021-01-08 21:00:00+00:00,2021-01-08 21:00:00+00:00,['1.00 USD'],SIM-3-2,,,,,,,,,,SIM-001,,IWM.SIM-LimitProbe-000,TAKER,T-e22d7bcb356118c7-022,207.7200
