generic-api-key hex64  other_tracked_files=3 ['blueprints/convergence-practice/offhost-app-state/upstream.json', 'docs/native-dashboards.md'] | match: openapi_sha256":"<SECRET>"
sourcegraph-access-token hex40  other_tracked_files=1 ['catalogs/us-equities/star-audit.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=1 ['catalogs/us-equities/star-audit.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=1 ['catalogs/us-equities/star-audit.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=1 ['catalogs/us-equities/star-audit.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=1 ['catalogs/us-equities/star-audit.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=1 ['catalogs/us-equities/star-audit.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=8 ['catalogs/landscape/us-equities.json', 'catalogs/us-equities/architecture/trading-sources.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=8 ['catalogs/landscape/us-equities.json', 'catalogs/us-equities/architecture/trading-sources.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=8 ['catalogs/landscape/us-equities.json', 'catalogs/us-equities/architecture/trading-sources.json'] | match: <SECRET>"
sourcegraph-access-token hex40  other_tracked_files=6 ['catalogs/us-equities/architecture/trading-sources.json', 'catalogs/us-equities/architecture/trading.json'] | match: <SECRET>"
