aardvark-dns	1.4.0-5	amd64
acl	2.3.2-1build1.1	amd64
adduser	3.137ubuntu1	all
adwaita-icon-theme	46.0-1	all
alsa-topology-conf	1.2.5.1-2	all
alsa-ucm-conf	1.2.10-1ubuntu5.14	all
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7	amd64
apport	2.28.3-0ubuntu0.1	all
apport-core-dump-handler	2.28.3-0ubuntu0.1	all
apport-symptoms	0.25	all
appstream	1.0.2-1build6	amd64
apt	2.8.3	amd64
apt-utils	2.8.3	amd64
at-spi2-common	2.52.0-1build1	all
at-spi2-core	2.52.0-1build1	amd64
base-files	13ubuntu10.5	amd64
base-passwd	3.6.3build1	amd64
bash	5.2.21-2ubuntu4	amd64
bash-completion	1:2.11-8	all
bc	1.07.1-3ubuntu4	amd64
binutils	2.42-4ubuntu2.10	amd64
binutils-common	2.42-4ubuntu2.10	amd64
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10	amd64
bsdextrautils	2.39.3-9ubuntu6.6	amd64
bsdutils	1:2.39.3-9ubuntu6.6	amd64
bubblewrap	0.9.0-1ubuntu0.3	amd64
build-essential	12.10ubuntu1	amd64
buildah	1.33.7+ds1-1ubuntu0.24.04.3	amd64
byobu	6.11-0ubuntu1.1	all
bzip2	1.0.8-5.1ubuntu0.1	amd64
ca-certificates	20260601~24.04.1	all
catatonit	0.1.7-1	amd64
cloud-guest-utils	0.33-1	all
cloud-init	26.1-0ubuntu1~24.04.1	all
command-not-found	23.04.0	all
conmon	2.1.10+ds1-1build2	amd64
console-setup	1.226ubuntu1.1	all
console-setup-linux	1.226ubuntu1.1	all
containernetworking-plugins	1.1.1+ds1-3ubuntu0.24.04.3	amd64
coreutils	9.4-3ubuntu6.3	amd64
cpp	4:13.2.0-7ubuntu1	amd64
cpp-13	13.3.0-6ubuntu2~24.04.1	amd64
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	amd64
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1	amd64
cron	3.0pl1-184ubuntu2	amd64
cron-daemon-common	3.0pl1-184ubuntu2	all
crun	1.14.1-1	amd64
curl	8.5.0-2ubuntu10.13	amd64
dash	0.5.12-6ubuntu5	amd64
dbus	1.14.10-4ubuntu4.1	amd64
dbus-bin	1.14.10-4ubuntu4.1	amd64
dbus-daemon	1.14.10-4ubuntu4.1	amd64
dbus-session-bus-common	1.14.10-4ubuntu4.1	all
dbus-system-bus-common	1.14.10-4ubuntu4.1	all
dbus-user-session	1.14.10-4ubuntu4.1	amd64
dbus-x11	1.14.10-4ubuntu4.1	amd64
dconf-gsettings-backend	0.40.0-4ubuntu0.1	amd64
dconf-service	0.40.0-4ubuntu0.1	amd64
debconf	1.5.86ubuntu1	all
debconf-i18n	1.5.86ubuntu1	all
debianutils	5.17build1	amd64
debootstrap	1.0.134ubuntu2	all
desktop-file-utils	0.27-2build1	amd64
dhcpcd-base	1:10.0.6-1ubuntu3.2	amd64
diffutils	1:3.10-1ubuntu0.1	amd64
dirmngr	2.4.4-2ubuntu17.6	amd64
distro-info	1.7build1	amd64
distro-info-data	0.72-0ubuntu0.24.04.1	all
dmsetup	2:1.02.185-3ubuntu3.2	amd64
dpkg	1.22.6ubuntu6.6	amd64
dpkg-dev	1.22.6ubuntu6.6	all
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	amd64
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1	all
earlyoom	1.7-2	amd64
eatmydata	131-1ubuntu1	all
ed	1.20.1-1	amd64
eject	2.39.3-9ubuntu6.6	amd64
ethtool	1:6.7-1build1	amd64
fdisk	2.39.3-9ubuntu6.6	amd64
file	1:5.45-3build1	amd64
findutils	4.9.0-5build1	amd64
fontconfig	2.15.0-1.1ubuntu2	amd64
fontconfig-config	2.15.0-1.1ubuntu2	amd64
fonts-dejavu-core	2.37-8	all
fonts-dejavu-mono	2.37-8	all
fonts-droid-fallback	1:6.0.1r16-1.1build1	all
fonts-freefont-ttf	20211204+svn4273-2	all
fonts-ipafont-gothic	00303-21ubuntu1	all
fonts-liberation	1:2.1.5-3	all
fonts-noto-cjk	1:20230817+repack1-3	all
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1	all
fonts-noto-mono	20201225-2	all
fonts-tlwg-loma-otf	1:0.7.3-1	all
fonts-ubuntu	0.869+git20240321-0ubuntu1	all
fonts-unifont	1:15.1.01-1build1	all
fonts-urw-base35	20200910-8	all
fonts-wqy-zenhei	0.9.45-8	all
fuse-overlayfs	1.13-1	amd64
fuse3	3.14.0-5build1	amd64
g++	4:13.2.0-7ubuntu1	amd64
g++-13	13.3.0-6ubuntu2~24.04.1	amd64
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	amd64
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1	amd64
gawk	1:5.2.1-2ubuntu0.1	amd64
gcc	4:13.2.0-7ubuntu1	amd64
gcc-13	13.3.0-6ubuntu2~24.04.1	amd64
gcc-13-base	13.3.0-6ubuntu2~24.04.1	amd64
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	amd64
gcc-14-base	14.2.0-4ubuntu2~24.04.1	amd64
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1	amd64
gdisk	1.0.10-1build1	amd64
gettext-base	0.21-14ubuntu2	amd64
ghostscript	10.02.1~dfsg1-0ubuntu7.9	amd64
gir1.2-girepository-2.0	1.80.1-1	amd64
gir1.2-glib-2.0	2.80.0-6ubuntu3.9	amd64
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5	amd64
git	1:2.43.0-1ubuntu7.3	amd64
git-man	1:2.43.0-1ubuntu7.3	all
gnupg	2.4.4-2ubuntu17.6	all
gnupg-l10n	2.4.4-2ubuntu17.6	all
gnupg-utils	2.4.4-2ubuntu17.6	amd64
golang-github-containers-common	0.57.4+ds1-2ubuntu0.2	all
golang-github-containers-image	5.29.2-2	all
gpg	2.4.4-2ubuntu17.6	amd64
gpg-agent	2.4.4-2ubuntu17.6	amd64
gpg-wks-client	2.4.4-2ubuntu17.6	amd64
gpgconf	2.4.4-2ubuntu17.6	amd64
