id | same_rewrite | rc native/049/050 | same_out | same_err | out_len n/049/050 | err_len n/049/050 | hook_rc | pd
git-status | True | [0, 0, 0] | True | True | [409, 57, 57] | [0, 0, 0] | [0, 0] | [None, None]
git-status-short | True | [0, 0, 0] | True | True | [50, 49, 49] | [0, 0, 0] | [0, 0] | [None, None]
git-log-3 | True | [0, 0, 0] | True | True | [407, 115, 115] | [0, 0, 0] | [0, 0] | [None, None]
git-log-oneline-5 | True | [0, 0, 0] | True | True | [76, 76, 76] | [0, 0, 0] | [0, 0] | [None, None]
git-log-plain | True | [0, 0, 0] | True | True | [1863, 324, 324] | [0, 0, 0] | [0, 0] | [None, None]
git-log-oneline | True | [0, 0, 0] | True | True | [186, 158, 158] | [0, 0, 0] | [0, 0] | [None, None]
git-log-p-2 | True | [0, 0, 0] | True | True | [39300, 39300, 39300] | [0, 0, 0] | [0, 0] | [None, None]
git-log-p | True | [0, 0, 0] | False | False | [42217, 42217, 41097] | [0, 0, 53] | [0, 0] | [None, None]
git-log-stat-3 | True | [0, 0, 0] | True | True | [586, 586, 586] | [0, 0, 0] | [0, 0] | [None, None]
git-diff | True | [0, 0, 0] | True | True | [113, 101, 101] | [0, 0, 0] | [0, 0] | [None, None]
git-diff-stat | True | [0, 0, 0] | False | True | [45, 44, 45] | [0, 0, 0] | [0, 0] | [None, None]
git-diff-cached | True | [0, 0, 0] | True | True | [149, 111, 111] | [0, 0, 0] | [0, 0] | [None, None]
git-show-c12 | True | [0, 0, 0] | True | True | [224, 128, 128] | [0, 0, 0] | [0, 0] | [None, None]
git-show-stat | True | [0, 0, 0] | True | True | [239, 239, 239] | [0, 0, 0] | [0, 0] | [None, None]
git-show-blob | True | [0, 0, 0] | False | True | [34893, 34893, 8275] | [0, 0, 0] | [0, 0] | [None, None]
git-show-blob-tail | True | [0, 0, 0] | False | True | [45, 45, 121] | [0, 0, 0] | [0, 0] | [None, None]
git-show-blob-head | True | [0, 0, 0] | True | True | [30, 30, 30] | [0, 0, 0] | [0, 0] | [None, None]
git-branch | True | [0, 0, 0] | True | True | [14, 14, 14] | [0, 0, 0] | [0, 0] | [None, None]
git-stash-list | True | [0, 0, 0] | True | True | [0, 0, 0] | [0, 0, 0] | [0, 0] | [None, None]
git-compound | True | [0, 0, 0] | True | True | [531, 90, 90] | [0, 0, 0] | [0, 0] | [None, None]
git-C | True | [0, 0, 0] | True | True | [409, 57, 57] | [0, 0, 0] | [0, 0] | [None, None]
git-log-badref | True | [128, 128, 128] | True | True | [0, 0, 0] | [196, 197, 197] | [0, 0] | [None, None]
git-diff-badref | True | [128, 128, 128] | True | True | [0, 0, 0] | [196, 196, 196] | [0, 0] | [None, None]
git-status-nonrepo | True | [128, 128, 128] | True | True | [0, 0, 0] | [69, 21, 21] | [0, 0] | [None, None]
grep-rn | True | [0, 0, 0] | True | True | [2614, 662, 662] | [0, 0, 0] | [0, 0] | [None, None]
grep-n-file | True | [0, 0, 0] | True | True | [13, 13, 13] | [0, 0, 0] | [0, 0] | [None, None]
grep-many | True | [0, 0, 0] | True | True | [1584, 392, 392] | [0, 0, 0] | [0, 0] | [None, None]
grep-c | True | [0, 0, 0] | True | True | [4, 4, 4] | [0, 0, 0] | [0, 0] | [None, None]
grep-rl | True | [0, 0, 0] | True | True | [35, 35, 35] | [0, 0, 0] | [0, 0] | [None, None]
grep-missing | True | [2, 2, 2] | True | True | [0, 0, 0] | [45, 54, 54] | [0, 0] | [None, None]
grep-nomatch | True | [1, 1, 1] | True | True | [0, 0, 0] | [0, 0, 0] | [0, 0] | [None, None]
rg-n | True | [0, 0, 0] | True | True | [2614, 662, 662] | [0, 0, 0] | [0, 0] | [None, None]
rg-many | True | [0, 0, 0] | True | True | [1584, 392, 392] | [0, 0, 0] | [0, 0] | [None, None]
rg-missing | True | [2, 2, 2] | True | True | [0, 0, 0] | [56, 56, 56] | [0, 0] | [None, None]
rg-nomatch | True | [1, 1, 1] | True | True | [0, 0, 0] | [0, 0, 0] | [0, 0] | [None, None]
find-name | True | [0, 0, 0] | True | True | [28, 22, 22] | [0, 0, 0] | [0, 0] | [None, None]
find-type-d | True | [0, 0, 0] | True | True | [8, 4, 4] | [0, 0, 0] | [0, 0] | [None, None]
find-missing | True | [1, 0, 0] | True | True | [0, 0, 0] | [47, 0, 0] | [0, 0] | [None, None]
ls | True | [0, 0, 0] | True | True | [21, 38, 38] | [0, 0, 0] | [0, 0] | [None, None]
ls-la | True | [0, 0, 0] | True | True | [251, 46, 46] | [0, 0, 0] | [0, 0] | [None, None]
ls-missing | True | [2, 2, 2] | True | True | [0, 0, 0] | [55, 64, 64] | [0, 0] | [None, None]
cat | True | [0, 0, 0] | True | True | [311, 311, 311] | [0, 0, 0] | [0, 0] | [None, None]
cat-big | True | [0, 0, 0] | True | True | [124893, 124893, 124893] | [0, 0, 0] | [0, 0] | [None, None]
cat-missing | True | [1, 1, 1] | True | True | [0, 0, 0] | [44, 57, 57] | [0, 0] | [None, None]
cat-pipe-head | True | [0, 0, 0] | True | True | [21, 21, 21] | [0, 0, 0] | [0, 0] | [None, None]
head-3 | False | [0, 0, 0] | False | True | [21, 22, 21] | [0, 0, 0] | [0, 0] | [None, None]
    rewrite 049: rtk read f.txt --max-lines 3
    rewrite 050: rtk read f.txt --head-lines 3
head-bare | False | [0, 0, 0] | False | True | [71, 311, 71] | [0, 0, 0] | [0, 0] | [None, None]
    rewrite 049: rtk read f.txt
    rewrite 050: rtk read f.txt --head-lines 10
head-n-3 | False | [0, 0, 0] | True | True | [21, 21, 21] | [0, 0, 0] | [0, 0] | [None, None]
    rewrite 049: None
    rewrite 050: rtk read f.txt --head-lines 3
tail-5 | True | [0, 0, 0] | True | True | [40, 40, 40] | [0, 0, 0] | [0, 0] | [None, None]
tail-n-3 | True | [0, 0, 0] | True | True | [24, 24, 24] | [0, 0, 0] | [0, 0] | [None, None]
wc-l | True | [0, 0, 0] | True | True | [9, 3, 3] | [0, 0, 0] | [0, 0] | [None, None]
wc-multi | True | [0, 0, 0] | True | True | [32, 25, 25] | [0, 0, 0] | [0, 0] | [None, None]
wc | True | [0, 0, 0] | True | True | [18, 13, 13] | [0, 0, 0] | [0, 0] | [None, None]
wc-missing | True | [1, 1, 1] | True | False | [0, 1, 1] | [43, 0, 52] | [0, 0] | [None, None]
diff-files | True | [1, 1, 1] | True | True | [38, 38, 38] | [0, 0, 0] | [0, 0] | [None, None]
diff-u | True | [1, 1, 1] | True | True | [155, 155, 155] | [0, 0, 0] | [0, 0] | [None, None]
diff-missing | True | [2, 1, 1] | True | True | [0, 0, 0] | [45, 44, 44] | [0, 0] | [None, None]
du | True | [0, 0, 0] | True | True | [4, 4, 4] | [0, 0, 0] | [0, 0] | [None, None]
make-ok | True | [0, 0, 0] | True | True | [16, 16, 16] | [0, 0, 0] | [0, 0] | [None, None]
make-fail | True | [2, 2, 2] | True | True | [0, 1, 1] | [54, 54, 54] | [0, 0] | [None, None]
pytest-fake | True | [4, 4, 4] | True | False | [0, 1, 1] | [51, 0, 51] | [0, 0] | [None, None]
python-m-pytest | True | [1, 4, 4] | True | False | [0, 1, 1] | [77, 0, 51] | [0, 0] | [None, None]
ruff-fake | True | [2, 2, 2] | True | False | [0, 1, 1] | [65, 0, 65] | [0, 0] | [None, None]
uv-run-pytest | True | None | None | None | None | None | [0, 0] | [None, None]
curl-file | True | [0, 0, 0] | True | True | [41, 42, 42] | [0, 0, 0] | [0, 0] | [None, None]
curl-missing | True | [37, 37, 37] | True | True | [0, 0, 0] | [184, 197, 197] | [0, 0] | [None, None]
jq | True | [0, 0, 0] | True | True | [18, 18, 18] | [0, 0, 0] | [0, 0] | [None, None]
tar-tf | True | [0, 0, 0] | True | True | [32, 32, 32] | [0, 0, 0] | [0, 0] | [None, None]
gh-pr-view | True | [4, 4, 4] | True | True | [0, 0, 0] | [157, 157, 157] | [0, 0] | [None, None]
gh-run-view | True | [4, 4, 4] | True | True | [0, 0, 0] | [157, 157, 157] | [0, 0] | [None, None]
gh-api | True | [4, 4, 4] | True | True | [0, 0, 0] | [157, 157, 157] | [0, 0] | [None, None]
systemctl-status | True | [4, 4, 4] | True | True | [0, 1, 1] | [61, 61, 61] | [0, 0] | [None, None]
echo-subst | True | [0, 0, 0] | True | True | [5, 5, 5] | [0, 0, 0] | [0, 0] | [None, None]
uname | True | [0, 0, 0] | True | True | [6, 6, 6] | [0, 0, 0] | [0, 0] | [None, None]
htop | True | None | None | None | None | None | [0, 0] | [None, None]
redirect | True | None | None | None | None | None | [0, 0] | [None, None]
